joint,bag_time_ns,bag_time_sec,header_stamp_sec,position,velocity,effort,phase
joint4,1785500771345086751,1785500771.3450868,1785500771.3448842,0.0,0.0,-0.1364886611700058,home
joint4,1785500771545802649,1785500771.5458028,1785500771.5455732,0.0,0.0,-0.1364886611700058,home
joint4,1785500771746482447,1785500771.7464826,1785500771.746328,0.0,0.0,-0.1364886611700058,home
joint4,1785500771947182795,1785500771.947183,1785500771.9469986,0.0,0.0,-0.1364886611700058,home
joint4,1785500772147916151,1785500772.147916,1785500772.147731,0.0,0.0,-0.1364886611700058,home
joint4,1785500772348688878,1785500772.348689,1785500772.3484848,0.0,0.0,-0.1364886611700058,home
joint4,1785500772549410887,1785500772.5494108,1785500772.549205,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500772750071839,1785500772.750072,1785500772.7498956,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500772950769110,1785500772.9507692,1785500772.9505756,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500773151458241,1785500773.1514585,1785500773.151274,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500773352130433,1785500773.352131,1785500773.352012,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500773552909883,1785500773.55291,1785500773.5526989,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500773753723428,1785500773.7537236,1785500773.7535136,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500773954452410,1785500773.9544525,1785500773.9542756,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500774155110400,1785500774.1551106,1785500774.1549938,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500774355918364,1785500774.3559184,1785500774.3557365,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500774556679397,1785500774.5566795,1785500774.556492,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500774757453325,1785500774.7574534,1785500774.757254,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500774958200621,1785500774.9582007,1785500774.9580123,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500775158939797,1785500775.15894,1785500775.1587446,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500775359782016,1785500775.359782,1785500775.3595662,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500775560547327,1785500775.5605474,1785500775.5603564,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500775761869159,1785500775.7618692,1785500775.7616594,0.0,0.0,-0.1364886611700058,gripper_opening
joint4,1785500775962623158,1785500775.9626234,1785500775.962413,0.0,0.0,-0.1416530758142471,pick
joint4,1785500776163386821,1785500776.163387,1785500776.1631775,0.0,0.0,-0.1332812011241912,pick
joint4,1785500776364094970,1785500776.364095,1785500776.3639402,0.0,0.0,-0.1304126381874084,pick
joint4,1785500776564805204,1785500776.5648053,1785500776.5646722,0.0,0.0,-0.1274728029966354,pick
joint4,1785500776765627533,1785500776.765628,1785500776.7654033,0.0,0.0,-0.1244024336338043,pick
joint4,1785500776966324611,1785500776.9663248,1785500776.9661498,0.0,0.0,-0.1213235855102539,pick
joint4,1785500777167139251,1785500777.1671395,1785500777.1669073,0.0,0.0,-0.1181784123182296,pick
joint4,1785500777367923837,1785500777.3679235,1785500777.3676765,0.0,0.0,-0.1149686202406883,pick
joint4,1785500777568627947,1785500777.568628,1785500777.568443,0.0,0.0,-0.1116959676146507,pick
joint4,1785500777769684527,1785500777.7696846,1785500777.7694943,0.0,0.0,-0.1082949265837669,pick
joint4,1785500777970371184,1785500777.9703712,1785500777.9701936,0.0,0.0,-0.1049007326364517,pick
joint4,1785500778171071673,1785500778.1710718,1785500778.170877,0.0,0.0,-0.1014491394162178,pick
joint4,1785500778371822813,1785500778.371823,1785500778.3715577,0.0,0.0,-0.0979420244693756,pick
joint4,1785500778572393264,1785500778.5723934,1785500778.5722458,0.0,0.0,-0.0943813025951385,pick
joint4,1785500778773176626,1785500778.773177,1785500778.7729924,0.0,0.0,-0.0907689034938812,pick
joint4,1785500778973901385,1785500778.9739015,1785500778.9737165,0.0,0.0,-0.0870330706238746,pick
joint4,1785500779174626811,1785500779.1746268,1785500779.174497,0.0,0.0,-0.0833223238587379,pick
joint4,1785500779375403568,1785500779.3754036,1785500779.3752456,0.0,0.0,-0.0795659348368644,pick
joint4,1785500779576174475,1785500779.5761747,1785500779.5760002,0.0,0.0,-0.0757659450173378,pick
joint4,1785500779776896116,1785500779.776896,1785500779.7767577,0.0,0.0,-0.0719244331121444,pick
joint4,1785500779977569404,1785500779.977569,1785500779.977465,0.0,0.0,-0.067965492606163,pick
joint4,1785500780178652619,1785500780.1786528,1785500780.1784897,0.0,0.0,-0.064046524465084,pick
joint4,1785500780379726027,1785500780.3797262,1785500780.3795533,0.0,0.0,-0.0600924268364906,pick
joint4,1785500780580472846,1785500780.580473,1785500780.5803163,0.0,0.0,-0.0561053678393363,pick
joint4,1785500780781282164,1785500780.7812822,1785500780.7810795,0.0,0.0,-0.0520875267684459,pick
joint4,1785500780982052097,1785500780.9820523,1785500780.9818475,0.0,0.0,-0.0479598939418792,pick
joint4,1785500781182855782,1785500781.1828558,1785500781.1826146,0.0,0.0,-0.0438865907490253,pick
joint4,1785500781383557050,1785500781.383557,1785500781.3833787,0.0,0.0,-0.0397891849279403,pick
joint4,1785500781584306312,1785500781.5843065,1785500781.5841353,0.0,0.0,-0.0356699265539646,pick
joint4,1785500781785055523,1785500781.7850556,1785500781.7848918,0.0,0.0,-0.0315310657024383,pick
joint4,1785500781985878827,1785500781.985879,1785500781.9856498,0.0,0.0,-0.027291590347886,pick
joint4,1785500782186602345,1785500782.1866024,1785500782.186411,0.0,0.0,-0.0231200661510229,pick
joint4,1785500782387729674,1785500782.38773,1785500782.3875048,0.0,0.0,-0.0163614191114902,pick
joint4,1785500782588398658,1785500782.5883987,1785500782.5882406,0.0,0.0,-0.018818499520421,pick
joint4,1785500782789165261,1785500782.7891655,1785500782.7889898,0.0,0.0,-0.018818499520421,pick
joint4,1785500782989860486,1785500782.9898608,1785500782.989674,0.0,0.0,-0.018818499520421,pick
joint4,1785500783190557532,1785500783.1905577,1785500783.1903577,0.0,0.0,-0.018818499520421,pick
joint4,1785500783391143715,1785500783.3911438,1785500783.3910284,0.0,0.0,-0.018818499520421,pick
joint4,1785500783591880308,1785500783.5918803,1785500783.5917232,0.0,0.0,-0.018818499520421,pick
joint4,1785500783792630527,1785500783.792631,1785500783.7924902,0.0,0.0,-0.018818499520421,pick
joint4,1785500783993347261,1785500783.9933474,1785500783.9932003,0.0,0.0,-0.018818499520421,pick
joint4,1785500784194082078,1785500784.1940825,1785500784.193893,0.0,0.0,-0.018818499520421,pick
joint4,1785500784394773502,1785500784.3947735,1785500784.3945887,0.0,0.0,-0.018818499520421,pick
joint4,1785500784595592992,1785500784.595593,1785500784.5953908,0.0,0.0,-0.018818499520421,pick
joint4,1785500784796383387,1785500784.7963836,1785500784.7961464,0.0,0.0,-0.018818499520421,pick
joint4,1785500784997147671,1785500784.9971478,1785500784.9969137,0.0,0.0,-0.018818499520421,pick
joint4,1785500785197896863,1785500785.197897,1785500785.197676,0.0,0.0,-0.018818499520421,pick
joint4,1785500785398602432,1785500785.3986027,1785500785.3984454,0.0,0.0,-0.018818499520421,pick
joint4,1785500785599667574,1785500785.5996675,1785500785.5994463,0.0,0.0,-0.018818499520421,gripper_closing
joint4,1785500785800433740,1785500785.800434,1785500785.8002098,0.0,0.0,-0.018818499520421,gripper_closing
joint4,1785500786001134569,1785500786.0011346,1785500786.0009434,0.0,0.0,-0.018818499520421,gripper_closing
joint4,1785500786201930980,1785500786.2019312,1785500786.2017014,0.0,0.0,-0.018818499520421,gripper_closing
joint4,1785500786402659230,1785500786.4026594,1785500786.4024768,0.0,0.0,-0.018818499520421,gripper_closing
joint4,1785500786603249544,1785500786.6032498,1785500786.603163,0.0,0.0,-0.018818499520421,gripper_closing
joint4,1785500786804468821,1785500786.8044689,1785500786.804208,0.0,0.0,-0.018818499520421,gripper_closing
