bag_time_ns,bag_time_sec,header_stamp_sec,joint1_position,joint1_velocity,joint1_effort,joint2_position,joint2_velocity,joint2_effort,joint3_position,joint3_velocity,joint3_effort,joint4_position,joint4_velocity,joint4_effort,joint5_position,joint5_velocity,joint5_effort,joint6_position,joint6_velocity,joint6_effort,phase
1785500710112683643,1785500710.1126835,1785500710.1125627,-0.3646780550479889,0.06953989714384079,1.3854666948318481,0.273150771856308,-0.2304750680923462,-26.52154541015625,-1.1631196737289429,0.23610450327396393,-15.131342887878418,0.0,0.0,-0.2954140603542328,-0.7250251770019531,0.3026641011238098,-1.729648470878601,0.0,0.0,0.011012791655957699,return_home
1785500710313422516,1785500710.3134227,1785500710.3132691,-0.34868955612182617,0.08022792637348175,2.0983376502990723,0.22016030550003052,-0.2658982574939728,-25.827669143676758,-1.1088348627090454,0.2723928987979889,-15.717962265014648,0.0,0.0,-0.13772624731063843,-0.6554371118545532,0.34918248653411865,-2.4528510570526123,0.0,0.0,0.011250915937125683,return_home
1785500710514091867,1785500710.514092,1785500710.513977,-0.33264395594596863,0.08022792637348175,2.6644375324249268,0.16698065400123596,-0.2658982574939728,-24.28236961364746,-1.054356336593628,0.2723928987979889,-15.626161575317383,0.0,0.0,-0.13746674358844757,-0.5856006145477295,0.34918248653411865,-2.5545756816864014,0.0,0.0,0.011200900189578533,return_home
1785500710714849237,1785500710.7148495,1785500710.7146685,-0.31659838557243347,0.08022792637348175,1.7005375623703003,0.1138010025024414,-0.2658982574939728,-23.51736831665039,-0.9998777508735657,0.2723928987979889,-15.717962265014648,0.0,0.0,-0.1372273862361908,-0.5157641172409058,0.34918248653411865,-2.791933536529541,0.0,0.0,0.011094421148300171,return_home
1785500710915528566,1785500710.9155285,1785500710.9153707,-0.3005528151988983,0.08022792637348175,2.2207374572753906,0.06062135100364685,-0.2658982574939728,-22.798269271850586,-0.9453991651535034,0.2723928987979889,-15.549661636352539,0.0,0.0,-0.1370062679052353,-0.44592761993408203,0.34918248653411865,-2.9275665283203125,0.0,0.0,0.01092821080237627,return_home
1785500711116268671,1785500711.1162686,1785500711.1160886,-0.28418630361557007,0.08022792637348175,2.312537670135498,0.00637810816988349,-0.2658982574939728,-21.11526870727539,-0.889831006526947,0.2723928987979889,-15.901561737060547,0.0,0.0,-0.1368139088153839,-0.3746944069862366,0.34918248653411865,-3.063199520111084,0.0,0.0,0.010709629394114017,return_home
1785500711316979603,1785500711.31698,1785500711.3167903,-0.2681407332420349,0.08022792637348175,2.649137496948242,-0.04680154100060463,-0.2658982574939728,-19.753568649291992,-0.8353524208068848,0.2723928987979889,-16.054561614990234,0.0,0.0,-0.13664723932743073,-0.30485790967941284,0.34918248653411865,-2.8088877201080322,0.0,0.0,0.010437079705297947,return_home
1785500711517699482,1785500711.5176997,1785500711.5175476,-0.25209513306617737,0.08022792637348175,1.7158375978469849,-0.09998118877410889,-0.2658982574939728,-18.49897003173828,-0.7808738350868225,0.2723928987979889,-16.023962020874023,0.0,0.0,-0.13650736212730408,-0.23502139747142792,0.34918248653411865,-3.1818783283233643,0.0,0.0,0.010111935436725616,return_home
1785500711718465941,1785500711.718466,1785500711.7183206,-0.23604954779148102,0.08022792637348175,2.618537664413452,-0.15316084027290344,-0.2658982574939728,-17.259668350219727,-0.726395308971405,0.2723928987979889,-15.901561737060547,0.0,0.0,-0.1363949328660965,-0.1651849001646042,0.34918248653411865,-2.9275665283203125,0.0,0.0,0.0097358338534832,return_home
1785500711919123340,1785500711.9191236,1785500711.9190097,-0.22000396251678467,0.08022792637348175,2.2207374572753906,-0.206340491771698,-0.2658982574939728,-16.586469650268555,-0.6719167232513428,0.2723928987979889,-16.039262771606445,0.0,0.0,-0.13630877435207367,-0.09534841030836105,0.34918248653411865,-3.2836031913757324,0.0,0.0,0.009301673620939255,return_home
1785500712119847135,1785500712.1198473,1785500712.1197248,-0.20363746583461761,0.08022792637348175,2.389037609100342,-0.2605837285518646,-0.2658982574939728,-15.270668983459473,-0.6163485646247864,0.2723928987979889,-16.36056137084961,0.0,0.0,-0.1362520307302475,-0.0241151861846447,0.34918248653411865,-3.063199520111084,0.0,0.0,0.008828654885292053,return_home
1785500712320579069,1785500712.3205793,1785500712.3204243,-0.18759188055992126,0.08022792637348175,1.8229376077651978,-0.3137633800506592,-0.2658982574939728,-13.419368743896484,-0.5618699789047241,0.2723928987979889,-16.3299617767334,0.0,0.0,-0.13622204959392548,0.04572130739688873,0.34918248653411865,-3.4022819995880127,0.0,0.0,0.00831112265586853,return_home
1785500712521366739,1785500712.5213668,1785500712.5211906,-0.17154629528522491,0.08022792637348175,2.695037603378296,-0.36694303154945374,-0.2658982574939728,-12.027069091796875,-0.5073913931846619,0.2723928987979889,-15.65676212310791,0.0,0.0,-0.13621771335601807,0.11555780470371246,0.34918248653411865,-3.24969482421875,0.0,0.0,0.007751670200377703,return_home
1785500712722032456,1785500712.7220325,1785500712.7219114,-0.15550071001052856,0.08022792637348175,1.8076375722885132,-0.4201226830482483,-0.2658982574939728,-11.399768829345703,-0.4529128074645996,0.2723928987979889,-16.023962020874023,0.0,0.0,-0.13623741269111633,0.1853943020105362,0.34918248653411865,-3.1988325119018555,0.0,0.0,0.007153104525059462,return_home
1785500712922771794,1785500712.922772,1785500712.9226108,-0.13945512473583221,0.08022792637348175,2.5114376544952393,-0.47330233454704285,-0.2658982574939728,-9.93096923828125,-0.39843422174453735,0.2723928987979889,-16.635961532592773,0.0,0.0,-0.1362791657447815,0.25523078441619873,0.34918248653411865,-3.0462453365325928,0.0,0.0,0.006518425419926643,return_home
1785500713123456916,1785500713.1234572,1785500713.1233065,-0.12340954691171646,0.08022792637348175,1.5934375524520874,-0.5264819860458374,-0.2658982574939728,-8.324469566345215,-0.3439556360244751,0.2723928987979889,-16.039262771606445,0.0,0.0,-0.13634198904037476,0.32506728172302246,0.34918248653411865,-3.1988325119018555,0.0,0.0,0.005837148521095514,return_home
1785500713324221925,1785500713.324222,1785500713.3240666,-0.10704305022954941,0.08022792637348175,3.276437520980835,-0.5807251930236816,-0.2658982574939728,-6.809769153594971,-0.2883874773979187,0.2723928987979889,-15.809762001037598,0.0,0.0,-0.1364206075668335,0.3963005244731903,0.34918248653411865,-3.232740640640259,0.0,0.0,0.005139394197613001,return_home
1785500713524928791,1785500713.5249288,1785500713.5247958,-0.09099746495485306,0.08022792637348175,1.4251375198364258,-0.6339048743247986,-0.2658982574939728,-6.151869297027588,-0.23390890657901764,0.2723928987979889,-16.284061431884766,0.0,0.0,-0.13651297986507416,0.46613702178001404,0.34918248653411865,-3.0292911529541016,0.0,0.0,0.004415620118379593,return_home
1785500713725658532,1785500713.7256587,1785500713.7255037,-0.07495187968015671,0.08022792637348175,2.5420374870300293,-0.6870844960212708,-0.2658982574939728,-4.881968975067139,-0.17943032085895538,0.2723928987979889,-16.11576271057129,0.0,0.0,-0.13661576807498932,0.5359734892845154,0.34918248653411865,-2.7241170406341553,0.0,0.0,0.003669455647468567,return_home
1785500713926436726,1785500713.9264367,1785500713.9262474,-0.05890629440546036,0.08022792637348175,1.8229376077651978,-0.7402641773223877,-0.2658982574939728,-3.122469186782837,-0.12495174258947372,0.2723928987979889,-15.65676212310791,0.0,0.0,-0.13672538101673126,0.6058099865913391,0.34918248653411865,-3.0292911529541016,0.0,0.0,0.002904642140492797,return_home
1785500714127240808,1785500714.127241,1785500714.1269722,-0.04286070913076401,0.08022792637348175,2.5420374870300293,-0.7934437990188599,-0.2658982574939728,-2.051469087600708,-0.07047316431999207,0.2723928987979889,-15.519062042236328,0.0,0.0,-0.13684037327766418,0.6756464838981628,0.34918248653411865,-2.8258416652679443,0.0,0.0,0.0021092998795211315,return_home
1785500714327941313,1785500714.3279414,1785500714.3277578,-0.026494214311242104,0.08022792637348175,1.9759376049041748,-0.8476870656013489,-0.2658982574939728,-1.6689691543579102,-0.014905011281371117,0.2723928987979889,-15.65676212310791,0.0,0.0,-0.13695231080055237,0.7468796968460083,0.34918248653411865,-2.8088877201080322,0.0,0.0,0.0013185980496928096,return_home
1785500714528721291,1785500714.5287216,1785500714.5285451,-0.010448629036545753,0.08022792637348175,2.3278374671936035,-0.900866687297821,-0.2658982574939728,-0.20016919076442719,0.03957356885075569,0.2723928987979889,-15.610861778259277,0.0,0.0,-0.13705958425998688,0.816716194152832,0.34918248653411865,-2.520667552947998,0.0,0.0,0.0005210465169511735,return_home
1785500714729486741,1785500714.729487,1785500714.7293139,0.0,0.0,6.242400169372559,-0.93549644947052,0.0,-3.687299966812134,0.07504915446043015,0.0,-13.724100112915039,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-0.050862375646829605,0.0,0.0,-1.9705405065906234e-05,return_home
1785500714930253895,1785500714.930254,1785500714.9300656,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.07504915446043015,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502197,0.0,0.0,-1.9705405065906234e-05,return_home
1785500715131047779,1785500715.1310477,1785500715.130829,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.07504915446043015,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502197,0.0,0.0,-1.9705405065906234e-05,return_home
1785500715331835843,1785500715.331836,1785500715.3316023,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.07504915446043015,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502197,0.0,0.0,-1.9705405065906234e-05,return_home
1785500715532494038,1785500715.5324943,1785500715.5322993,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.07504915446043015,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502197,0.0,0.0,-1.9705405065906234e-05,return_home
1785500715733212057,1785500715.7332122,1785500715.733069,0.0,0.0,6.955415678590118e-17,-0.93549644947052,0.0,-0.6772262454032898,0.07504915446043015,0.0,-14.930364608764648,0.0,0.0,-0.1364886611700058,0.8621926307678223,0.0,-1.5899393558502197,0.0,0.0,-1.9705405065906234e-05,return_home
