window_id,joint,start_time_sec,end_time_sec,center_time_sec,mean_pos,min_pos,max_pos,range_pos,pla_mean_slope,pla_max_slope,pla_min_slope,pla_mse,pla_max_error,pla_slopes,pla_intercepts,energy,direction_label,motion_label,pla_shape_label,pla_fit_label,energy_label
0,joint2,0.0,0.018880495,0.00940244565,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,6.916351699005158e-14,1.6801868268009188e-13,-9.629422468774666e-15,1.0538688655686955e-31,7.771561172376096e-16,0.000000;0.000000;-0.000000;0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
1,joint2,0.004915232,0.023881991,0.01439973155,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,2.3719713988139666e-14,1.6801868268009188e-13,-7.314608688770627e-14,9.121204216617949e-32,7.771561172376096e-16,0.000000;-0.000000;0.000000;-0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
2,joint2,0.00990681,0.028896211,0.019398718700000005,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,2.7373491098471658e-14,1.6801868268009188e-13,-7.314608688770627e-14,7.826979293989726e-32,7.771561172376096e-16,-0.000000;0.000000;-0.000000;0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
3,joint2,0.014906432,0.033875085,0.02439298335,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,3.923942562824415e-14,1.6801868268009188e-13,-7.314608688770627e-14,7.95023881043051e-32,7.771561172376096e-16,0.000000;-0.000000;0.000000;0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
4,joint2,0.019879344,0.038885617,0.0293924219,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,-1.2464372768614093e-14,3.7834315650315285e-14,-7.314608688770627e-14,2.465190328815662e-32,3.3306690738754696e-16,-0.000000;0.000000;0.000000;-0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
5,joint2,0.024904735,0.04388003,0.0343909387,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,2.943539884375132e-14,9.445299956175536e-14,-3.879651090734108e-14,2.958228394578794e-32,3.3306690738754696e-16,0.000000;0.000000;-0.000000;0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
6,joint2,0.029886904,0.048892887,0.0393982987,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,1.762371684966914e-14,9.445299956175536e-14,-3.879651090734108e-14,3.2047474274603606e-32,3.3306690738754696e-16,0.000000;-0.000000;0.000000;-0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
7,joint2,0.034879594,0.053934078,0.04439995035,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,3.043722864458398e-14,9.445299956175536e-14,-3.879651090734108e-14,3.697785493223493e-32,3.3306690738754696e-16,-0.000000;0.000000;-0.000000;0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
8,joint2,0.039902811,0.058883696,0.0494001358,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,1.8462836987711202e-14,9.445299956175536e-14,-8.669407753483218e-14,2.7733391199176196e-32,3.3306690738754696e-16,0.000000;-0.000000;0.000000;-0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
9,joint2,0.044907482,0.063883228,0.05439989790000001,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,6.93181488263149e-15,8.908836282997463e-14,-8.669407753483218e-14,2.2803010541544874e-32,3.3306690738754696e-16,-0.000000;0.000000;-0.000000;0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
10,joint2,0.049897857,0.068907567,0.0593936201,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,-6.159819418014292e-16,8.908836282997463e-14,-8.669407753483218e-14,2.4035605705952703e-32,3.3306690738754696e-16,0.000000;-0.000000;0.000000;-0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
11,joint2,0.054910715,0.073922819,0.06439608035000001,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,-4.462648719821886e-14,4.8328911141436526e-14,-8.695365819569512e-14,1.910522504832138e-32,2.220446049250313e-16,-0.000000;0.000000;-0.000000;-0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
12,joint2,0.059883827,0.078954733,0.06940055789999999,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,-1.9862446281919975e-14,4.8328911141436526e-14,-8.695365819569512e-14,2.3419308123748787e-32,2.220446049250313e-16,0.000000;-0.000000;-0.000000;0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
13,joint2,0.064908196,0.083885555,0.07440025245000001,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,-1.8815218417153457e-14,5.251782260050262e-14,-8.695365819569512e-14,3.0814879110195774e-32,3.3306690738754696e-16,-0.000000;-0.000000;0.000000;0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
14,joint2,0.069903741,0.088910435,0.07940319665000001,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,-3.2487436042912875e-14,5.251782260050262e-14,-1.0787599470682238e-13,3.8826747678846674e-32,3.3306690738754696e-16,-0.000000;0.000000;0.000000;-0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
15,joint2,0.074893465,0.09387982,0.08439736175,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,-3.486562739665899e-14,5.251782260050262e-14,-1.0787599470682238e-13,1.5160920522216322e-31,8.881784197001252e-16,0.000000;0.000000;-0.000000;-0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
16,joint2,0.079887126,0.098876056,0.08939085449999999,-0.9354964790690226,-0.9354964790690224,-0.9354964790690224,0.0,-2.4772851414832875e-14,5.273319005766783e-14,-1.0787599470682238e-13,2.55147199032421e-31,8.881784197001252e-16,0.000000;-0.000000;-0.000000;0.000000,-0.935496;-0.935496;-0.935496;-0.935496,2.465190328815662e-31,stationary,small_motion,constant,good_fit,low_energy
