timestamp,scenario,run_id,example_type,imu_angular_z,imu_accel_x,imu_accel_y,odom_angular_z,lidar_front,lidar_front_right,lidar_left,lidar_right,distance_travelled,cmd_linear_x,pos_x,action_label
2026-07-09 11:44:36.936,pillar_wall_good,pill_good_01,positive,-0.032,-0.115,0.3928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,idle
2026-07-09 11:44:37.036,pillar_wall_good,pill_good_01,positive,0.0128,-0.0862,0.3161,-0.0,65.533,3.196,1.259,1.904,0.0,0.0,-5.9069,idle
2026-07-09 11:44:37.136,pillar_wall_good,pill_good_01,positive,-1.632,0.0383,2.395,0.0022,65.533,3.206,1.255,1.913,0.0001,0.1,-5.9068,approaching_wall
2026-07-09 11:44:37.236,pillar_wall_good,pill_good_01,positive,-1.9313,0.2012,0.1245,-0.0,65.533,3.224,1.251,1.919,0.0017,0.1,-5.9053,approaching_wall
2026-07-09 11:44:37.336,pillar_wall_good,pill_good_01,positive,-1.893,-0.1245,-2.4238,-0.0018,65.533,3.217,1.255,1.916,0.0034,0.1,-5.904,approaching_wall
2026-07-09 11:44:37.436,pillar_wall_good,pill_good_01,positive,-1.7524,-0.5269,-2.0789,0.0126,65.533,2.505,1.254,1.926,0.0027,0.1,-5.9057,approaching_wall
2026-07-09 11:44:37.536,pillar_wall_good,pill_good_01,positive,-1.3891,-0.7568,-0.9676,0.0306,65.533,2.344,1.235,1.939,0.0149,0.1,-5.9071,approaching_wall
2026-07-09 11:44:37.636,pillar_wall_good,pill_good_01,positive,-0.3856,0.0575,-1.5328,0.0288,12.276,3.63,1.199,2.305,0.0302,0.1,-5.9059,approaching_wall
2026-07-09 11:44:37.736,pillar_wall_good,pill_good_01,positive,0.1182,0.1629,-0.1533,0.0301,65.533,2.222,1.181,2.367,0.0499,0.1,-5.9036,approaching_wall
2026-07-09 11:44:37.836,pillar_wall_good,pill_good_01,positive,0.5497,-0.5652,0.297,0.0282,5.045,2.122,1.143,2.438,0.0713,0.1,-5.9021,approaching_wall
2026-07-09 11:44:37.936,pillar_wall_good,pill_good_01,positive,0.3153,0.2874,-0.1245,0.0336,4.059,2.309,1.123,2.506,0.09,0.1,-5.902,approaching_wall
2026-07-09 11:44:38.036,pillar_wall_good,pill_good_01,positive,0.1321,-0.9005,0.0,0.0423,3.388,5.444,1.109,2.587,0.1114,0.1,-5.9014,approaching_wall
2026-07-09 11:44:38.136,pillar_wall_good,pill_good_01,positive,0.2738,-0.2778,0.8909,0.0251,2.809,6.114,1.071,2.665,0.1324,0.1,-5.9012,approaching_wall
2026-07-09 11:44:38.236,pillar_wall_good,pill_good_01,positive,0.2972,-0.0671,-0.6227,0.0259,2.031,6.144,1.049,2.763,0.1528,0.1,-5.9015,approaching_wall
2026-07-09 11:44:38.336,pillar_wall_good,pill_good_01,positive,0.1438,-0.2108,-0.3066,0.0346,1.994,6.058,1.063,2.848,0.1741,0.1,-5.9023,approaching_wall
2026-07-09 11:44:38.436,pillar_wall_good,pill_good_01,positive,0.2716,0.3161,-0.1437,0.031,1.976,6.004,1.05,2.946,0.1959,0.1,-5.9033,approaching_wall
2026-07-09 11:44:38.537,pillar_wall_good,pill_good_01,positive,0.0714,-0.3353,-1.0155,0.0157,1.808,5.967,1.048,3.013,0.2198,0.1,-5.904,approaching_wall
2026-07-09 11:44:38.636,pillar_wall_good,pill_good_01,positive,0.1641,-0.2395,-0.3736,0.0245,1.675,5.933,1.066,3.092,0.2427,0.1,-5.9041,approaching_wall
2026-07-09 11:44:38.736,pillar_wall_good,pill_good_01,positive,0.147,-0.1245,0.4982,0.0143,1.565,5.916,1.063,3.142,0.2674,0.1,-5.9037,approaching_wall
2026-07-09 11:44:38.836,pillar_wall_good,pill_good_01,positive,-0.0245,0.4886,1.552,0.0167,1.453,65.533,1.024,3.241,0.2902,0.1,-5.9037,approaching_wall
2026-07-09 11:44:38.936,pillar_wall_good,pill_good_01,positive,0.0692,0.4982,0.4215,0.0159,1.355,65.533,0.961,3.293,0.315,0.1,-5.9041,approaching_wall
2026-07-09 11:44:39.036,pillar_wall_good,pill_good_01,positive,0.0714,0.297,-0.3066,0.0165,1.271,65.533,0.988,3.377,0.3372,0.1,-5.9051,approaching_wall
2026-07-09 11:44:39.136,pillar_wall_good,pill_good_01,positive,0.0426,-0.1245,0.2874,0.0265,1.182,65.533,0.953,3.445,0.3609,0.1,-5.9066,approaching_wall
2026-07-09 11:44:39.236,pillar_wall_good,pill_good_01,positive,0.033,-0.1054,0.0287,0.0254,1.088,65.533,0.94,3.53,0.3846,0.1,-5.9086,approaching_wall
2026-07-09 11:44:39.336,pillar_wall_good,pill_good_01,positive,0.098,0.2491,0.6227,0.0154,1.005,65.533,0.937,3.622,0.4092,0.1,-5.9111,approaching_wall
2026-07-09 11:44:39.436,pillar_wall_good,pill_good_01,positive,0.0724,-0.297,0.2682,0.0258,0.923,65.533,0.833,3.686,0.4318,0.1,-5.9139,approaching_wall
2026-07-09 11:44:39.536,pillar_wall_good,pill_good_01,positive,2.6877,0.4982,-1.2837,0.0265,0.855,65.533,0.766,2.911,0.4563,0.1,-5.9174,approaching_wall
2026-07-09 11:44:39.636,pillar_wall_good,pill_good_01,positive,0.0618,-0.1245,0.2682,0.0177,0.789,65.533,0.786,3.021,0.4769,0.1,-5.9207,approaching_wall
2026-07-09 11:44:39.736,pillar_wall_good,pill_good_01,positive,0.0256,-0.1629,0.297,0.0107,0.722,65.533,0.652,3.94,0.4937,0.1,-5.9235,approaching_wall
2026-07-09 11:44:39.836,pillar_wall_good,pill_good_01,positive,0.0096,-0.0096,1.3508,0.0086,0.697,65.533,0.609,3.951,0.5083,0.1,-5.9259,wall_following
2026-07-09 11:44:39.936,pillar_wall_good,pill_good_01,positive,-0.0075,-0.2108,0.4982,0.0049,0.671,65.533,0.559,4.009,0.5192,0.1,-5.9276,wall_following
2026-07-09 11:44:40.036,pillar_wall_good,pill_good_01,positive,-0.0671,-0.3353,1.0538,0.0014,0.66,65.533,0.549,4.025,0.5262,0.1,-5.9284,wall_following
2026-07-09 11:44:40.136,pillar_wall_good,pill_good_01,positive,-0.7286,0.364,0.7472,-0.0019,0.648,65.533,0.519,4.005,0.5318,0.1,-5.9285,wall_following
2026-07-09 11:44:40.236,pillar_wall_good,pill_good_01,positive,-1.8109,0.4694,0.2682,-0.0007,0.66,65.533,0.502,3.979,0.5364,0.1,-5.9279,wall_following
2026-07-09 11:44:40.336,pillar_wall_good,pill_good_01,positive,-0.7691,-0.1533,-0.1245,-0.0005,0.666,65.533,0.501,3.195,0.5411,0.1,-5.926,wall_following
2026-07-09 11:44:40.436,pillar_wall_good,pill_good_01,positive,-0.6669,-0.3545,-0.0383,-0.0023,0.664,65.533,0.488,3.012,0.5454,0.1,-5.9231,wall_following
2026-07-09 11:44:40.536,pillar_wall_good,pill_good_01,positive,-0.3675,0.1533,0.3161,-0.0012,0.681,65.533,0.471,3.095,0.5494,0.1,-5.9197,wall_following
2026-07-09 11:44:40.636,pillar_wall_good,pill_good_01,positive,-0.7297,-0.182,-0.2491,-0.0043,0.691,65.533,0.464,3.796,0.5526,0.1,-5.9162,wall_following
2026-07-09 11:44:40.737,pillar_wall_good,pill_good_01,positive,-0.6562,0.1437,0.5077,-0.0035,0.712,65.533,0.458,3.737,0.5551,0.1,-5.9122,wall_following
2026-07-09 11:44:40.836,pillar_wall_good,pill_good_01,positive,-0.5049,0.2203,0.2299,-0.0031,0.727,65.533,0.441,3.692,0.5571,0.1,-5.908,wall_following
2026-07-09 11:44:40.936,pillar_wall_good,pill_good_01,positive,-0.2248,-0.5652,-0.0096,-0.0036,0.771,65.533,0.452,3.635,0.559,0.1,-5.9033,wall_following
2026-07-09 11:44:41.036,pillar_wall_good,pill_good_01,positive,-0.5167,0.0766,0.5844,-0.0071,0.805,65.533,0.45,3.589,0.5607,0.1,-5.8979,wall_following
2026-07-09 11:44:41.136,pillar_wall_good,pill_good_01,positive,-0.7542,-0.1437,0.1724,-0.0061,0.862,65.533,0.437,3.531,0.562,0.1,-5.8927,wall_following
2026-07-09 11:44:41.236,pillar_wall_good,pill_good_01,positive,-0.5593,-0.2108,0.3353,-0.0039,0.909,6.083,0.425,3.488,0.5628,0.1,-5.8876,wall_following
2026-07-09 11:44:41.336,pillar_wall_good,pill_good_01,positive,-0.2418,0.115,0.6227,-0.0053,0.971,6.148,0.447,3.437,0.5635,0.1,-5.8816,wall_following
2026-07-09 11:44:41.436,pillar_wall_good,pill_good_01,positive,0.0756,0.1341,0.4503,-0.0079,1.059,6.208,0.429,3.395,0.564,0.1,-5.8758,wall_following
2026-07-09 11:44:41.536,pillar_wall_good,pill_good_01,positive,-0.2248,0.1916,0.2587,-0.0048,1.142,65.533,0.442,3.353,0.5645,0.1,-5.8702,wall_following
2026-07-09 11:44:41.636,pillar_wall_good,pill_good_01,positive,-0.1534,-0.1533,0.0958,-0.0069,1.237,65.533,0.433,3.297,0.5651,0.1,-5.8648,wall_following
2026-07-09 11:44:41.736,pillar_wall_good,pill_good_01,positive,-0.066,0.1724,0.1245,-0.0045,1.349,65.533,0.446,3.264,0.5656,0.1,-5.8589,wall_following
2026-07-09 11:44:41.836,pillar_wall_good,pill_good_01,positive,-0.0373,-0.115,-0.0192,-0.0082,1.479,6.475,0.442,3.224,0.5663,0.1,-5.8533,wall_following
2026-07-09 11:44:41.936,pillar_wall_good,pill_good_01,positive,-0.1172,-0.3449,0.5077,-0.0073,1.646,6.207,0.444,3.196,0.5671,0.1,-5.8481,wall_following
2026-07-09 11:44:42.036,pillar_wall_good,pill_good_01,positive,-0.0362,-0.0958,0.5748,-0.0048,1.783,5.962,0.452,3.168,0.568,0.1,-5.8427,wall_following
2026-07-09 11:44:42.136,pillar_wall_good,pill_good_01,positive,-0.115,0.0383,0.6514,-0.0045,1.765,5.68,0.454,3.138,0.5693,0.1,-5.8371,wall_following
2026-07-09 11:44:42.236,pillar_wall_good,pill_good_01,positive,-0.6189,0.0575,0.7568,-0.0047,1.751,5.446,0.46,3.121,0.5704,0.1,-5.8321,wall_following
2026-07-09 11:44:42.336,pillar_wall_good,pill_good_01,positive,-0.4208,-0.1054,-0.3066,-0.0057,1.763,5.307,0.462,3.097,0.5715,0.1,-5.8267,wall_following
