timestamp,scenario,run_id,example_type,imu_accel_y,imu_accel_x,imu_angular_z,odom_angular_z,lidar_left,lidar_front,lidar_right,distance_travelled,cmd_linear_x,lidar_front_right,pos_x,action_label
2026-07-09 11:53:16.435,pillar_wall_good,pill_good_02,positive,0.0,0.0,0.0,0.0,1.203,65.533,1.966,0.0,0.0,3.401,0.0,idle
2026-07-09 11:53:16.535,pillar_wall_good,pill_good_02,positive,0.4886,-0.0383,0.0447,0.0,1.203,65.533,1.966,0.0,0.0,3.401,-4.6442,idle
2026-07-09 11:53:16.635,pillar_wall_good,pill_good_02,positive,0.1341,0.0096,-0.0597,0.0,1.199,65.533,1.968,0.0,0.0,3.406,-4.6442,idle
2026-07-09 11:53:16.735,pillar_wall_good,pill_good_02,positive,0.0862,-0.115,-0.0383,0.0,1.203,65.533,1.964,0.0,0.0,3.382,-4.6442,idle
2026-07-09 11:53:16.835,pillar_wall_good,pill_good_02,positive,0.4119,0.0192,0.0479,0.0,1.208,65.533,1.969,0.0,0.0,3.394,-4.6442,idle
2026-07-09 11:53:16.935,pillar_wall_good,pill_good_02,positive,0.5748,-0.1245,0.0117,0.0,1.204,65.533,1.965,0.0,0.1,3.405,-4.6442,approaching_wall
2026-07-09 11:53:17.035,pillar_wall_good,pill_good_02,positive,0.297,0.6898,2.3926,0.0044,1.208,65.533,1.977,0.001,0.1,3.401,-4.6432,approaching_wall
2026-07-09 11:53:17.135,pillar_wall_good,pill_good_02,positive,-1.0442,0.3449,1.7705,-0.0056,1.192,65.533,1.962,0.0037,0.1,3.401,-4.6405,approaching_wall
2026-07-09 11:53:17.235,pillar_wall_good,pill_good_02,positive,-1.2837,0.4982,2.6877,-0.0112,1.191,65.533,1.976,0.0086,0.1,3.384,-4.6358,approaching_wall
2026-07-09 11:53:17.335,pillar_wall_good,pill_good_02,positive,-0.115,0.594,2.2403,-0.0117,1.196,65.533,1.978,0.015,0.1,3.369,-4.63,approaching_wall
2026-07-09 11:53:17.435,pillar_wall_good,pill_good_02,positive,0.2587,0.2395,2.2211,-0.0153,1.187,65.533,1.982,0.0266,0.1,3.336,-4.6193,approaching_wall
2026-07-09 11:53:17.535,pillar_wall_good,pill_good_02,positive,-0.4024,0.0096,1.9867,-0.0027,1.178,65.533,1.98,0.0426,0.1,3.33,-4.6035,approaching_wall
2026-07-09 11:53:17.635,pillar_wall_good,pill_good_02,positive,-1.0634,1.3221,1.4285,0.0058,1.174,65.533,2.0,0.0614,0.1,3.262,-4.5846,approaching_wall
2026-07-09 11:53:17.735,pillar_wall_good,pill_good_02,positive,0.1437,0.0575,0.8788,0.0222,1.164,65.533,2.022,0.0852,0.1,3.249,-4.5604,approaching_wall
2026-07-09 11:53:17.835,pillar_wall_good,pill_good_02,positive,1.4274,-0.0383,0.1694,0.0183,1.115,65.533,2.052,0.1096,0.1,3.275,-4.5355,approaching_wall
2026-07-09 11:53:17.935,pillar_wall_good,pill_good_02,positive,0.8143,-0.0479,0.0831,0.0182,1.086,65.533,2.093,0.1327,0.1,3.348,-4.512,approaching_wall
2026-07-09 11:53:18.035,pillar_wall_good,pill_good_02,positive,1.4179,0.0,0.2503,0.0232,1.052,65.533,2.114,0.155,0.1,3.416,-4.4894,approaching_wall
2026-07-09 11:53:18.135,pillar_wall_good,pill_good_02,positive,0.9867,0.0096,0.1438,0.0219,1.027,65.533,2.138,0.1774,0.1,3.425,-4.4669,approaching_wall
2026-07-09 11:53:18.235,pillar_wall_good,pill_good_02,positive,1.0921,0.0,0.0341,0.0129,0.999,65.533,2.164,0.2019,0.1,2.7,-4.4423,approaching_wall
2026-07-09 11:53:18.335,pillar_wall_good,pill_good_02,positive,0.2108,-0.1533,-0.0767,0.0262,0.961,65.533,2.203,0.2251,0.1,2.606,-4.4192,approaching_wall
2026-07-09 11:53:18.435,pillar_wall_good,pill_good_02,positive,1.2454,-0.3257,-0.082,0.0229,0.935,65.533,2.221,0.2478,0.1,2.599,-4.3967,approaching_wall
2026-07-09 11:53:18.535,pillar_wall_good,pill_good_02,positive,1.1017,0.2874,-0.017,0.0265,0.893,65.533,2.271,0.2722,0.1,2.768,-4.3728,approaching_wall
2026-07-09 11:53:18.635,pillar_wall_good,pill_good_02,positive,0.4694,-0.1245,0.0863,0.0263,0.871,65.533,2.294,0.2941,0.1,3.645,-4.3514,approaching_wall
2026-07-09 11:53:18.735,pillar_wall_good,pill_good_02,positive,0.1437,-0.1054,-0.0277,0.0234,0.839,65.533,2.335,0.3168,0.1,3.689,-4.3293,approaching_wall
2026-07-09 11:53:18.835,pillar_wall_good,pill_good_02,positive,-0.479,-0.6802,-0.1342,0.0234,0.821,65.533,2.355,0.3388,0.1,2.617,-4.3081,approaching_wall
2026-07-09 11:53:18.935,pillar_wall_good,pill_good_02,positive,0.0383,-0.2587,-0.0756,0.0223,0.784,65.533,2.389,0.3588,0.1,2.401,-4.2889,approaching_wall
2026-07-09 11:53:19.035,pillar_wall_good,pill_good_02,positive,0.843,-0.2778,-0.1044,0.0201,0.764,65.533,2.41,0.3775,0.1,2.396,-4.2711,approaching_wall
2026-07-09 11:53:19.135,pillar_wall_good,pill_good_02,positive,-0.1916,-0.0766,-0.1236,0.0161,0.739,65.533,2.439,0.3945,0.1,2.39,-4.2549,approaching_wall
2026-07-09 11:53:19.235,pillar_wall_good,pill_good_02,positive,0.4598,-0.2778,-0.1555,0.0157,0.716,65.533,2.449,0.4108,0.1,2.386,-4.2394,approaching_wall
2026-07-09 11:53:19.335,pillar_wall_good,pill_good_02,positive,-0.364,-0.2299,-0.1949,0.0076,0.706,65.533,2.471,0.4255,0.1,2.383,-4.2253,approaching_wall
2026-07-09 11:53:19.435,pillar_wall_good,pill_good_02,positive,0.2395,-0.4024,-0.2471,0.0112,0.68,65.533,2.492,0.44,0.1,2.379,-4.2115,approaching_wall
2026-07-09 11:53:19.535,pillar_wall_good,pill_good_02,positive,-0.1533,-0.1916,-0.375,0.0071,0.675,65.533,2.511,0.453,0.1,2.372,-4.1989,approaching_wall
