timestamp,scenario,run_id,example_type,imu_angular_z,imu_accel_x,imu_accel_y,odom_angular_z,lidar_left,lidar_right,lidar_front,distance_travelled,cmd_linear_x,lidar_front_right,pos_x,action_label
2026-07-09 11:56:47.163,pillar_wall_good,pill_good_03,positive,-1.1888,-0.115,3.5063,0.0017,1.284,1.896,65.533,0.0002,0.1,3.428,-5.6859,approaching_wall
2026-07-09 11:56:47.264,pillar_wall_good,pill_good_03,positive,-0.8693,-0.3832,-0.9484,-0.0035,1.279,1.895,65.533,0.0023,0.1,3.423,-5.6851,approaching_wall
2026-07-09 11:56:47.363,pillar_wall_good,pill_good_03,positive,-0.4453,0.0479,-0.4886,0.0075,1.264,1.901,65.533,0.0119,0.1,2.862,-5.6801,approaching_wall
2026-07-09 11:56:47.464,pillar_wall_good,pill_good_03,positive,-0.294,-0.3545,-0.4694,0.0095,1.259,1.91,65.533,0.0195,0.1,2.572,-5.6758,approaching_wall
2026-07-09 11:56:47.564,pillar_wall_good,pill_good_03,positive,0.2812,-0.3257,-0.0096,0.0155,1.239,1.984,12.313,0.0409,0.1,2.476,-5.664,approaching_wall
2026-07-09 11:56:47.664,pillar_wall_good,pill_good_03,positive,0.4123,-0.2299,0.6706,0.0184,1.209,2.292,12.282,0.06,0.1,2.552,-5.6546,approaching_wall
2026-07-09 11:56:47.763,pillar_wall_good,pill_good_03,positive,0.2216,0.3161,-0.3161,0.0247,1.186,2.342,9.35,0.0822,0.1,3.58,-5.6453,approaching_wall
2026-07-09 11:56:47.863,pillar_wall_good,pill_good_03,positive,0.1417,-0.0575,0.6131,0.0184,1.153,2.379,9.249,0.106,0.1,2.377,-5.6368,approaching_wall
2026-07-09 11:56:47.963,pillar_wall_good,pill_good_03,positive,0.1672,0.115,0.776,0.022,1.122,2.41,7.867,0.1297,0.1,2.252,-5.6292,approaching_wall
2026-07-09 11:56:48.064,pillar_wall_good,pill_good_03,positive,0.1587,0.0192,0.2108,0.0199,1.084,2.436,7.843,0.1543,0.1,2.252,-5.6227,approaching_wall
2026-07-09 11:56:48.164,pillar_wall_good,pill_good_03,positive,0.0948,0.1437,1.7723,0.0214,1.055,2.473,7.832,0.1671,0.1,2.25,-5.6198,approaching_wall
2026-07-09 11:56:48.264,pillar_wall_good,pill_good_03,positive,0.1076,-0.3161,-1.1688,0.0236,1.016,2.5,7.816,0.201,0.1,2.247,-5.6133,approaching_wall
2026-07-09 11:56:48.363,pillar_wall_good,pill_good_03,positive,0.0128,-0.4503,0.3736,0.0176,0.99,2.522,7.802,0.2226,0.1,2.239,-5.6098,approaching_wall
2026-07-09 11:56:48.463,pillar_wall_good,pill_good_03,positive,-0.0224,-0.3161,0.1916,0.0166,0.946,2.565,7.793,0.2457,0.1,2.225,-5.6065,approaching_wall
2026-07-09 11:56:48.564,pillar_wall_good,pill_good_03,positive,0.0032,0.0096,1.1975,0.0255,0.92,2.598,7.806,0.2691,0.1,2.204,-5.6037,approaching_wall
2026-07-09 11:56:48.663,pillar_wall_good,pill_good_03,positive,-0.0064,-0.0287,0.4024,0.0148,0.88,2.623,65.533,0.2934,0.1,2.206,-5.6013,approaching_wall
2026-07-09 11:56:48.764,pillar_wall_good,pill_good_03,positive,0.0213,-0.1341,-1.3221,0.016,0.856,2.651,5.987,0.3165,0.1,2.222,-5.5996,approaching_wall
2026-07-09 11:56:48.863,pillar_wall_good,pill_good_03,positive,-0.0522,-0.0766,1.0251,0.0226,0.822,2.686,6.02,0.3399,0.1,2.257,-5.5983,approaching_wall
2026-07-09 11:56:48.964,pillar_wall_good,pill_good_03,positive,-0.1342,-0.0671,0.6514,0.0237,0.787,2.705,6.062,0.3617,0.1,2.314,-5.5976,approaching_wall
2026-07-09 11:56:49.064,pillar_wall_good,pill_good_03,positive,-0.016,-0.2395,0.5077,0.0098,0.764,2.751,5.999,0.3811,0.1,2.348,-5.5972,approaching_wall
2026-07-09 11:56:49.164,pillar_wall_good,pill_good_03,positive,0.0117,-0.4886,-0.0766,0.0154,0.752,2.777,5.976,0.3983,0.1,2.393,-5.5968,approaching_wall
2026-07-09 11:56:49.264,pillar_wall_good,pill_good_03,positive,-0.1033,-0.0766,0.0862,0.0181,0.721,2.791,5.983,0.4146,0.1,2.412,-5.5966,approaching_wall
2026-07-09 11:56:49.364,pillar_wall_good,pill_good_03,positive,-0.1662,0.4024,-0.0287,0.0142,0.706,2.818,6.06,0.4296,0.1,2.422,-5.5963,approaching_wall
2026-07-09 11:56:49.464,pillar_wall_good,pill_good_03,positive,-0.131,-0.0192,-0.2587,0.0123,0.685,2.828,6.05,0.4439,0.1,2.435,-5.5959,approaching_wall
2026-07-09 11:56:49.564,pillar_wall_good,pill_good_03,positive,-0.1342,-0.0192,0.0671,0.0109,0.655,2.84,6.074,0.4578,0.1,2.438,-5.5953,approaching_wall
2026-07-09 11:56:49.663,pillar_wall_good,pill_good_03,positive,2.6877,0.4982,-1.2837,0.0094,0.66,2.848,6.109,0.4701,0.1,2.428,-5.5945,approaching_wall
2026-07-09 11:56:49.764,pillar_wall_good,pill_good_03,positive,-0.2184,-0.1724,0.5365,0.0073,0.644,2.866,7.682,0.4811,0.1,2.418,-5.5932,wall_following
2026-07-09 11:56:49.864,pillar_wall_good,pill_good_03,positive,-0.3153,-0.1437,0.364,0.007,0.636,2.872,7.691,0.4921,0.1,2.411,-5.5914,wall_following
2026-07-09 11:56:49.963,pillar_wall_good,pill_good_03,positive,-0.2812,-0.1724,-0.0862,0.0042,0.619,2.871,7.699,0.5029,0.1,2.403,-5.5891,wall_following
2026-07-09 11:56:50.063,pillar_wall_good,pill_good_03,positive,-0.3366,-0.0575,0.4311,0.0038,0.607,2.894,7.707,0.5135,0.1,2.415,-5.5864,wall_following
2026-07-09 11:56:50.164,pillar_wall_good,pill_good_03,positive,-0.2024,-0.1245,0.3066,0.0043,0.607,2.914,7.68,0.5217,0.1,2.419,-5.5839,wall_following
2026-07-09 11:56:50.264,pillar_wall_good,pill_good_03,positive,-0.1193,0.0,0.2682,0.005,0.594,2.909,7.673,0.5317,0.1,2.441,-5.5805,wall_following
2026-07-09 11:56:50.364,pillar_wall_good,pill_good_03,positive,-0.3004,-0.1724,0.9293,0.0022,0.584,2.92,7.637,0.5427,0.1,2.469,-5.5762,wall_following
2026-07-09 11:56:50.464,pillar_wall_good,pill_good_03,positive,-0.196,0.0192,0.3736,0.0024,0.566,2.937,7.634,0.5509,0.1,2.467,-5.5726,wall_following
2026-07-09 11:56:50.564,pillar_wall_good,pill_good_03,positive,-0.1928,-0.1245,0.3833,0.0018,0.562,2.94,7.622,0.559,0.1,2.49,-5.5686,wall_following
2026-07-09 11:56:50.664,pillar_wall_good,pill_good_03,positive,-0.2567,-0.0958,0.3832,0.0013,0.561,2.949,7.592,0.5672,0.1,2.5,-5.5643,wall_following
2026-07-09 11:56:50.764,pillar_wall_good,pill_good_03,positive,-0.3569,-0.0192,0.0766,-0.0002,0.566,2.956,7.619,0.5755,0.1,2.513,-5.5593,wall_following
2026-07-09 11:56:50.864,pillar_wall_good,pill_good_03,positive,-0.1875,-0.1629,-0.3066,-0.0005,0.543,2.955,7.58,0.5823,0.1,2.505,-5.5547,wall_following
2026-07-09 11:56:50.964,pillar_wall_good,pill_good_03,positive,-0.1001,-0.2491,0.4215,-0.0,0.552,2.966,7.569,0.5893,0.1,2.516,-5.5496,wall_following
2026-07-09 11:56:51.063,pillar_wall_good,pill_good_03,positive,0.0011,-0.1437,0.0766,-0.0008,0.539,2.97,7.562,0.5969,0.1,2.523,-5.5438,wall_following
2026-07-09 11:56:51.163,pillar_wall_good,pill_good_03,positive,-0.1545,-0.0096,0.9005,-0.0014,0.537,2.977,7.558,0.6038,0.1,2.533,-5.5384,wall_following
2026-07-09 11:56:51.263,pillar_wall_good,pill_good_03,positive,-0.2013,-0.1533,0.4694,-0.0024,0.523,2.976,7.535,0.6105,0.1,2.521,-5.5329,wall_following
2026-07-09 11:56:51.364,pillar_wall_good,pill_good_03,positive,-0.2344,0.479,0.2108,-0.0022,0.535,2.985,7.535,0.6169,0.1,2.549,-5.5273,wall_following
2026-07-09 11:56:51.463,pillar_wall_good,pill_good_03,positive,-0.3324,-0.2587,0.8814,-0.0018,0.524,2.984,7.526,0.6231,0.1,5.445,-5.5216,wall_following
2026-07-09 11:56:51.563,pillar_wall_good,pill_good_03,positive,-0.1055,-0.1724,0.0575,-0.0029,0.516,2.983,7.509,0.6291,0.1,5.465,-5.5155,wall_following
2026-07-09 11:56:51.663,pillar_wall_good,pill_good_03,positive,-0.033,-0.3928,0.7568,-0.0037,0.523,2.998,7.504,0.635,0.1,5.442,-5.5093,wall_following
2026-07-09 11:56:51.764,pillar_wall_good,pill_good_03,positive,-0.2258,-0.3066,0.3449,-0.0025,0.514,2.993,7.497,0.6405,0.1,5.451,-5.5035,wall_following
2026-07-09 11:56:51.863,pillar_wall_good,pill_good_03,positive,-0.1001,-0.1533,0.3832,-0.0031,0.511,2.998,7.487,0.6466,0.1,5.419,-5.4968,wall_following
