timestamp,scenario,run_id,example_type,imu_angular_z,odom_angular_z,imu_accel_x,imu_accel_y,lidar_front,lidar_left,lidar_front_right,distance_travelled,cmd_linear_x,lidar_right,pos_x,action_label
2026-07-09 11:58:40.964,pillar_wall_good,pill_good_04,positive,0.0266,-0.0,-0.1054,0.7089,65.533,1.247,3.248,0.0,0.1,1.923,-5.7566,approaching_wall
2026-07-09 11:58:41.064,pillar_wall_good,pill_good_04,positive,-0.0032,-0.0,0.0,0.3257,65.533,1.247,3.248,0.0,0.1,1.923,-5.7566,approaching_wall
2026-07-09 11:58:41.164,pillar_wall_good,pill_good_04,positive,-0.0032,-0.0,0.0,0.3257,65.533,1.247,3.248,0.0,0.1,1.923,-5.7566,approaching_wall
2026-07-09 11:58:41.264,pillar_wall_good,pill_good_04,positive,0.0799,0.0,-0.0766,0.2778,65.533,1.237,3.246,0.0,0.1,1.921,-5.7566,approaching_wall
2026-07-09 11:58:41.364,pillar_wall_good,pill_good_04,positive,0.6274,-0.0014,-0.2012,1.0155,65.533,1.24,3.278,0.0036,0.1,1.921,-5.7535,approaching_wall
2026-07-09 11:58:41.464,pillar_wall_good,pill_good_04,positive,0.897,0.0025,-0.3161,-0.6035,65.533,1.229,3.327,0.0118,0.1,1.935,-5.7472,approaching_wall
2026-07-09 11:58:41.564,pillar_wall_good,pill_good_04,positive,0.7894,0.0066,0.1629,0.0192,65.533,1.209,3.401,0.0258,0.1,1.95,-5.7379,approaching_wall
2026-07-09 11:58:41.664,pillar_wall_good,pill_good_04,positive,0.6807,0.0101,0.3161,0.297,65.533,1.201,2.461,0.0406,0.1,2.295,-5.7297,approaching_wall
2026-07-09 11:58:41.764,pillar_wall_good,pill_good_04,positive,0.6487,0.0134,0.3257,-0.7664,9.252,1.184,3.721,0.0609,0.1,2.342,-5.7212,approaching_wall
2026-07-09 11:58:41.864,pillar_wall_good,pill_good_04,positive,1.5404,0.0171,-0.0766,0.0192,7.833,1.151,2.195,0.0822,0.1,2.383,-5.7157,approaching_wall
2026-07-09 11:58:41.964,pillar_wall_good,pill_good_04,positive,0.2301,0.0189,1.4753,1.2742,5.731,1.125,2.101,0.0996,0.1,2.439,-5.7132,approaching_wall
2026-07-09 11:58:42.064,pillar_wall_good,pill_good_04,positive,0.3196,0.029,1.552,0.6227,4.935,1.099,2.142,0.1247,0.1,2.483,-5.7112,approaching_wall
2026-07-09 11:58:42.164,pillar_wall_good,pill_good_04,positive,0.5689,0.0171,1.619,0.6131,4.935,1.099,2.142,0.1458,0.1,2.483,-5.7104,approaching_wall
2026-07-09 11:58:42.264,pillar_wall_good,pill_good_04,positive,0.1353,0.0125,0.6131,-1.0346,4.935,1.099,2.142,0.1683,0.1,2.483,-5.7104,approaching_wall
2026-07-09 11:58:42.364,pillar_wall_good,pill_good_04,positive,0.3015,0.0117,0.0096,0.5461,3.838,1.0,5.062,0.1906,0.1,2.617,-5.7109,approaching_wall
2026-07-09 11:58:42.464,pillar_wall_good,pill_good_04,positive,-0.1214,0.0245,-0.2682,-0.1724,3.931,0.968,5.061,0.2,0.1,2.63,-5.7114,approaching_wall
2026-07-09 11:58:42.564,pillar_wall_good,pill_good_04,positive,-0.1481,0.0178,-0.2778,1.0059,3.795,0.926,5.083,0.2385,0.1,2.659,-5.7136,approaching_wall
2026-07-09 11:58:42.664,pillar_wall_good,pill_good_04,positive,-0.1097,0.0259,0.1245,0.8526,3.483,0.9,5.23,0.2607,0.1,2.715,-5.7152,approaching_wall
2026-07-09 11:58:42.764,pillar_wall_good,pill_good_04,positive,0.0415,0.0219,-0.1054,1.5903,3.221,0.863,5.362,0.2839,0.1,2.759,-5.7167,approaching_wall
2026-07-09 11:58:42.864,pillar_wall_good,pill_good_04,positive,0.1087,0.0216,-0.0383,-0.661,3.044,0.832,5.445,0.3062,0.1,2.793,-5.7183,approaching_wall
2026-07-09 11:58:42.964,pillar_wall_good,pill_good_04,positive,0.0469,0.0143,-0.1054,1.1304,2.932,0.803,5.527,0.3276,0.1,2.821,-5.7205,approaching_wall
2026-07-09 11:58:43.064,pillar_wall_good,pill_good_04,positive,0.0075,0.0161,-0.2491,0.5173,2.531,0.761,5.579,0.3475,0.1,2.852,-5.723,approaching_wall
2026-07-09 11:58:43.164,pillar_wall_good,pill_good_04,positive,0.0341,0.011,-0.1437,0.7377,2.116,0.749,5.644,0.3648,0.1,2.895,-5.7253,approaching_wall
2026-07-09 11:58:43.264,pillar_wall_good,pill_good_04,positive,-0.1161,0.0093,-0.0958,0.6131,2.0,0.725,5.647,0.3808,0.1,2.914,-5.7275,approaching_wall
2026-07-09 11:58:43.364,pillar_wall_good,pill_good_04,positive,-0.277,0.0081,-0.2874,0.2108,1.937,0.693,5.685,0.3956,0.1,2.929,-5.7294,approaching_wall
2026-07-09 11:58:43.464,pillar_wall_good,pill_good_04,positive,-0.082,0.0122,-0.1054,0.8909,1.897,0.68,5.665,0.41,0.1,2.94,-5.731,approaching_wall
2026-07-09 11:58:43.564,pillar_wall_good,pill_good_04,positive,-0.326,0.0092,-0.7951,-0.0958,1.873,0.665,5.65,0.423,0.1,2.962,-5.7322,approaching_wall
2026-07-09 11:58:43.664,pillar_wall_good,pill_good_04,positive,-0.3068,0.0086,-0.0575,-0.0575,1.877,0.642,5.601,0.4355,0.1,2.967,-5.7327,wall_following
2026-07-09 11:58:43.765,pillar_wall_good,pill_good_04,positive,-0.2056,0.0064,-0.0575,0.3545,1.885,0.632,5.543,0.447,0.1,2.98,-5.7324,wall_following
2026-07-09 11:58:43.864,pillar_wall_good,pill_good_04,positive,-0.2567,0.003,-0.3161,0.0575,1.901,0.619,5.473,0.457,0.1,2.971,-5.7317,wall_following
2026-07-09 11:58:43.964,pillar_wall_good,pill_good_04,positive,-0.3665,0.0044,-0.3257,0.3545,1.961,0.603,5.45,0.4671,0.1,2.984,-5.7304,wall_following
2026-07-09 11:58:44.064,pillar_wall_good,pill_good_04,positive,-0.3739,0.0025,-0.2778,0.2203,2.084,0.588,5.362,0.4764,0.1,2.981,-5.7288,wall_following
