timestamp,scenario,run_id,example_type,imu_angular_z,imu_accel_x,imu_accel_y,lidar_front,odom_linear_x,lidar_left,pos_y,pos_x,lidar_front_right,lidar_right,action_label
2026-07-04 14:45:40.410,plain_wall_bad,pw_bad_04,negative,0.0213,-0.0479,0.3449,0.0,0.0,0.0,2.8547,1.7011,0.0,0.0,idle
2026-07-04 14:45:40.510,plain_wall_bad,pw_bad_04,negative,0.0714,-0.7856,6.5911,6.398,-0.0001,0.244,2.8547,1.7011,65.533,2.754,wall_following_fail
2026-07-04 14:45:40.610,plain_wall_bad,pw_bad_04,negative,-2.5854,0.594,0.594,6.433,0.0,0.242,2.8549,1.7009,65.533,2.755,wall_following_fail
2026-07-04 14:45:40.710,plain_wall_bad,pw_bad_04,negative,-1.8003,0.4024,0.4119,6.278,-0.0022,0.243,2.8551,1.6964,65.533,2.759,wall_following_fail
2026-07-04 14:45:40.810,plain_wall_bad,pw_bad_04,negative,-2.0517,0.4503,-0.4311,6.367,-0.0045,0.265,2.8577,1.6904,65.533,2.745,wall_following_fail
2026-07-04 14:45:40.911,plain_wall_bad,pw_bad_04,negative,-1.9015,0.2108,-0.6993,6.372,0.0019,0.264,2.8586,1.6892,65.533,2.743,wall_following_fail
2026-07-04 14:45:41.010,plain_wall_bad,pw_bad_04,negative,-1.926,-0.3066,-1.0251,6.327,0.0128,0.265,2.8528,1.6912,65.533,2.736,wall_following_fail
2026-07-04 14:45:41.110,plain_wall_bad,pw_bad_04,negative,-1.8866,-0.8814,-0.3449,6.325,0.0148,0.264,2.8394,1.6909,65.533,2.733,wall_following_fail
2026-07-04 14:45:41.210,plain_wall_bad,pw_bad_04,negative,-0.9768,-0.1916,0.4024,6.332,0.0147,0.284,2.8223,1.6845,65.533,2.713,wall_following_fail
2026-07-04 14:45:41.310,plain_wall_bad,pw_bad_04,negative,-0.4794,-0.2491,0.9197,6.318,0.0168,0.297,2.8053,1.674,65.533,2.699,wall_following_fail
2026-07-04 14:45:41.410,plain_wall_bad,pw_bad_04,negative,-0.2194,-0.3545,0.3161,6.309,0.0112,0.309,2.7907,1.6627,65.533,2.695,wall_following_fail
2026-07-04 14:45:41.510,plain_wall_bad,pw_bad_04,negative,-0.1747,-0.1245,0.1724,6.327,0.0131,0.321,2.777,1.6508,65.533,2.669,wall_following_fail
2026-07-04 14:45:41.610,plain_wall_bad,pw_bad_04,negative,-0.1012,-0.1629,1.0155,6.345,0.0097,0.33,2.764,1.6389,65.533,2.657,wall_following_fail
2026-07-04 14:45:41.710,plain_wall_bad,pw_bad_04,negative,-0.0373,-0.0479,0.7089,6.353,0.0123,0.349,2.7516,1.6276,65.533,2.645,wall_following_fail
2026-07-04 14:45:41.810,plain_wall_bad,pw_bad_04,negative,0.0863,-0.2012,0.2587,6.358,0.0089,0.359,2.7399,1.617,65.533,2.646,wall_following_fail
2026-07-04 14:45:41.910,plain_wall_bad,pw_bad_04,negative,0.1268,-0.3066,-0.2874,65.533,0.0094,0.363,2.7285,1.6072,65.533,2.642,wall_following_fail
2026-07-04 14:45:42.011,plain_wall_bad,pw_bad_04,negative,0.1108,-0.0383,0.6993,65.533,0.0088,0.375,2.7168,1.5977,65.533,2.642,wall_following_fail
2026-07-04 14:45:42.110,plain_wall_bad,pw_bad_04,negative,0.1949,-0.2587,0.3449,65.533,0.0088,0.397,2.7057,1.5892,65.533,2.638,wall_following_fail
2026-07-04 14:45:42.210,plain_wall_bad,pw_bad_04,negative,0.2695,0.1054,1.3412,65.533,0.0085,0.4,2.695,1.5817,65.533,2.63,wall_following_fail
2026-07-04 14:45:42.310,plain_wall_bad,pw_bad_04,negative,0.098,-0.1341,-0.0862,65.533,0.0114,0.41,2.6844,1.5751,65.533,2.627,wall_following
2026-07-04 14:45:42.410,plain_wall_bad,pw_bad_04,negative,0.1875,-0.1245,1.1496,65.533,0.0079,0.418,2.6734,1.5689,65.533,2.634,wall_following
2026-07-04 14:45:42.510,plain_wall_bad,pw_bad_04,negative,0.1694,0.0958,0.4407,65.533,0.0095,0.418,2.6629,1.5635,65.533,2.639,wall_following
2026-07-04 14:45:42.610,plain_wall_bad,pw_bad_04,negative,0.1864,0.0287,0.5365,65.533,0.0126,0.419,2.6522,1.5586,65.533,2.638,wall_following
2026-07-04 14:45:42.710,plain_wall_bad,pw_bad_04,negative,0.0234,-0.2203,0.5652,65.533,0.0095,0.431,2.6412,1.5538,65.533,2.658,wall_following
2026-07-04 14:45:42.810,plain_wall_bad,pw_bad_04,negative,0.1555,-0.182,0.7472,65.533,0.012,0.442,2.6304,1.5494,65.533,2.661,wall_following
2026-07-04 14:45:42.910,plain_wall_bad,pw_bad_04,negative,0.3036,-0.0479,0.8335,65.533,0.0083,0.446,2.6203,1.5458,65.533,2.671,wall_following
2026-07-04 14:45:43.010,plain_wall_bad,pw_bad_04,negative,0.0533,-0.0287,0.3161,65.533,0.0094,0.451,2.6097,1.5425,65.533,2.667,wall_following
2026-07-04 14:45:43.110,plain_wall_bad,pw_bad_04,negative,0.2365,-0.0575,0.8239,65.533,0.0089,0.449,2.5992,1.5396,65.533,2.662,wall_following
2026-07-04 14:45:43.210,plain_wall_bad,pw_bad_04,negative,0.2951,-0.0671,0.776,65.533,0.0088,0.46,2.589,1.5373,65.533,2.681,wall_following
2026-07-04 14:45:43.310,plain_wall_bad,pw_bad_04,negative,0.2077,0.1724,0.7568,65.533,0.0097,0.462,2.5788,1.5354,65.533,2.69,wall_following
2026-07-04 14:45:43.410,plain_wall_bad,pw_bad_04,negative,0.0234,-0.1054,0.4024,65.533,0.01,0.468,2.5681,1.5336,65.533,2.696,wall_following
