timestamp,scenario,run_id,example_type,imu_accel_x,imu_angular_z,pos_x,odom_linear_x,imu_accel_y,lidar_front_right,lidar_front,lidar_right,lidar_left,pos_y,action_label
2026-07-04 14:06:45.859,plain_wall_good,pw_good_04,positive,-0.1054,0.0085,-0.3548,0.0,0.0958,0.0,0.0,0.0,0.0,0.9038,idle
2026-07-04 14:06:45.959,plain_wall_good,pw_good_04,positive,-0.4886,-0.7105,-0.3549,0.0002,3.3434,3.258,65.533,1.363,1.221,0.9038,approaching_wall
2026-07-04 14:06:46.059,plain_wall_good,pw_good_04,positive,-0.0192,-2.4661,-0.3538,0.001,-0.0766,3.276,65.533,1.378,1.209,0.9026,approaching_wall
2026-07-04 14:06:46.159,plain_wall_good,pw_good_04,positive,0.1916,-1.8323,-0.3532,-0.0,-0.0671,3.277,65.533,1.356,1.205,0.9008,approaching_wall
2026-07-04 14:06:46.259,plain_wall_good,pw_good_04,positive,-0.0671,-1.9505,-0.3524,-0.0033,-1.4753,3.278,65.533,1.328,1.204,0.9058,approaching_wall
2026-07-04 14:06:46.359,plain_wall_good,pw_good_04,positive,-0.9197,-1.2474,-0.3443,0.0005,-1.073,3.311,65.533,1.31,1.189,0.9219,approaching_wall
2026-07-04 14:06:46.459,plain_wall_good,pw_good_04,positive,-0.2203,-0.5358,-0.3288,0.0042,-0.0862,3.348,65.533,1.286,1.16,0.9412,approaching_wall
2026-07-04 14:06:46.559,plain_wall_good,pw_good_04,positive,-0.1916,-0.2706,-0.3158,0.0061,0.5461,3.382,65.533,1.287,1.136,0.9549,approaching_wall
2026-07-04 14:06:46.659,plain_wall_good,pw_good_04,positive,-0.2587,-0.1214,-0.2842,0.0076,0.5173,3.452,65.533,1.325,1.107,0.9847,approaching_wall
2026-07-04 14:06:46.759,plain_wall_good,pw_good_04,positive,-0.1629,-0.0916,-0.2605,0.0092,1.2071,3.499,65.533,1.363,1.078,1.0057,approaching_wall
2026-07-04 14:06:46.859,plain_wall_good,pw_good_04,positive,0.3928,-0.0383,-0.2369,0.0089,0.4024,3.548,65.533,1.384,1.041,1.0258,approaching_wall
2026-07-04 14:06:46.959,plain_wall_good,pw_good_04,positive,-0.0958,0.0138,-0.2124,0.0117,1.3795,3.593,65.533,1.411,1.015,1.0463,approaching_wall
2026-07-04 14:06:47.059,plain_wall_good,pw_good_04,positive,-0.0671,-0.017,-0.1881,0.0129,0.4598,3.641,65.533,1.443,0.972,1.0664,approaching_wall
2026-07-04 14:06:47.159,plain_wall_good,pw_good_04,positive,-0.0479,-0.0469,-0.1639,0.0094,0.8335,3.673,65.533,1.471,0.945,1.0863,approaching_wall
2026-07-04 14:06:47.259,plain_wall_good,pw_good_04,positive,-0.5748,0.0415,-0.1396,0.0095,0.594,3.703,65.533,1.49,0.912,1.1062,approaching_wall
2026-07-04 14:06:47.359,plain_wall_good,pw_good_04,positive,0.1437,0.0,-0.115,0.0092,0.8909,3.72,65.533,1.512,0.885,1.1263,approaching_wall
2026-07-04 14:06:47.459,plain_wall_good,pw_good_04,positive,0.115,-0.032,-0.0906,0.0094,0.8622,3.726,65.533,1.539,0.852,1.1462,approaching_wall
2026-07-04 14:06:47.559,plain_wall_good,pw_good_04,positive,0.0192,0.0767,-0.067,0.0095,0.5556,3.688,65.533,1.56,0.817,1.1655,approaching_wall
2026-07-04 14:06:47.659,plain_wall_good,pw_good_04,positive,0.0862,-0.0618,-0.0447,0.009,-0.6419,7.478,65.533,1.589,0.79,1.1835,approaching_wall
2026-07-04 14:06:47.759,plain_wall_good,pw_good_04,positive,-0.2012,-0.1545,-0.0241,0.0081,0.8622,7.504,65.533,1.645,0.763,1.1998,approaching_wall
2026-07-04 14:06:47.859,plain_wall_good,pw_good_04,positive,0.1916,-0.1001,-0.0048,0.0084,-1.5999,7.502,65.533,1.691,0.742,1.2145,approaching_wall
2026-07-04 14:06:47.959,plain_wall_good,pw_good_04,positive,-0.0766,-0.0969,0.0134,0.0071,0.1437,7.514,65.533,1.719,0.736,1.2278,approaching_wall
2026-07-04 14:06:48.060,plain_wall_good,pw_good_04,positive,-0.2012,-0.1161,0.0309,0.0106,-0.0958,65.533,65.533,1.748,0.7,1.2397,approaching_wall
2026-07-04 14:06:48.159,plain_wall_good,pw_good_04,positive,0.1533,-0.2663,0.0473,0.007,1.0346,65.533,5.937,1.774,0.682,1.2499,approaching_wall
