timestamp,scenario,run_id,example_type,imu_accel_x,imu_angular_z,lidar_front_right,imu_accel_y,pos_x,lidar_left,lidar_front,lidar_right,pos_y,action_label
2026-07-04 14:13:37.883,plain_wall_good,pw_good_08,positive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,approaching_wall
2026-07-04 14:13:37.983,plain_wall_good,pw_good_08,positive,-0.1916,-0.017,0.0,0.5844,-0.0932,0.0,0.0,0.0,1.9053,approaching_wall
2026-07-04 14:13:38.083,plain_wall_good,pw_good_08,positive,1.0251,-2.3926,3.144,0.4311,-0.0919,1.215,65.533,1.657,1.9046,approaching_wall
2026-07-04 14:13:38.183,plain_wall_good,pw_good_08,positive,0.0862,-1.8386,3.162,-0.5652,-0.0895,1.212,65.533,1.733,1.9047,approaching_wall
2026-07-04 14:13:38.283,plain_wall_good,pw_good_08,positive,-0.3832,-1.9164,3.165,-0.7568,-0.0833,1.212,65.533,1.628,1.9098,approaching_wall
2026-07-04 14:13:38.383,plain_wall_good,pw_good_08,positive,-0.4119,-1.7928,3.145,-0.5652,-0.0708,1.199,65.533,1.786,1.918,approaching_wall
2026-07-04 14:13:38.483,plain_wall_good,pw_good_08,positive,-0.3928,-0.9555,3.121,-1.5616,-0.0552,1.189,65.533,1.773,1.924,approaching_wall
2026-07-04 14:13:38.583,plain_wall_good,pw_good_08,positive,-0.2108,-0.3633,3.103,-0.0096,-0.0332,1.174,65.533,1.752,1.9267,approaching_wall
2026-07-04 14:13:38.683,plain_wall_good,pw_good_08,positive,0.1629,-0.1545,3.084,-0.3161,-0.0043,1.151,65.533,1.778,1.9272,approaching_wall
2026-07-04 14:13:38.783,plain_wall_good,pw_good_08,positive,-0.0862,-0.1747,3.113,0.2587,0.026,1.117,65.533,1.809,1.928,approaching_wall
2026-07-04 14:13:38.883,plain_wall_good,pw_good_08,positive,-0.0958,-0.0756,3.153,0.2778,0.0578,1.089,65.533,1.844,1.9294,approaching_wall
2026-07-04 14:13:38.983,plain_wall_good,pw_good_08,positive,0.3161,-0.0842,3.174,0.0192,0.0893,1.066,65.533,1.866,1.9312,approaching_wall
2026-07-04 14:13:39.083,plain_wall_good,pw_good_08,positive,-0.0479,-0.0245,3.217,0.4119,0.1208,1.033,65.533,1.879,1.9331,approaching_wall
2026-07-04 14:13:39.183,plain_wall_good,pw_good_08,positive,0.4598,0.0682,3.249,-0.3545,0.1522,1.006,65.533,1.454,1.9352,approaching_wall
2026-07-04 14:13:39.283,plain_wall_good,pw_good_08,positive,0.2395,-0.0202,3.295,0.0383,0.1835,0.974,65.533,1.437,1.9373,approaching_wall
2026-07-04 14:13:39.383,plain_wall_good,pw_good_08,positive,0.0096,0.0234,3.34,1.1783,0.2152,0.943,65.533,1.454,1.9395,approaching_wall
2026-07-04 14:13:39.483,plain_wall_good,pw_good_08,positive,0.0192,0.0181,3.38,1.0538,0.2464,0.916,65.533,1.463,1.9418,approaching_wall
2026-07-04 14:13:39.583,plain_wall_good,pw_good_08,positive,-0.1916,0.0053,3.415,1.1496,0.2782,0.884,65.533,1.507,1.9441,approaching_wall
2026-07-04 14:13:39.683,plain_wall_good,pw_good_08,positive,-0.1054,0.0767,3.468,-0.7377,0.3098,0.858,65.533,1.533,1.9464,approaching_wall
2026-07-04 14:13:39.783,plain_wall_good,pw_good_08,positive,-0.2491,-0.0405,3.507,0.3832,0.3403,0.827,65.533,1.56,1.9486,approaching_wall
2026-07-04 14:13:39.883,plain_wall_good,pw_good_08,positive,-0.182,-0.0703,3.536,1.4466,0.3688,0.793,65.533,1.625,1.9505,approaching_wall
2026-07-04 14:13:39.983,plain_wall_good,pw_good_08,positive,0.115,-0.1704,3.587,-0.4407,0.3941,0.769,65.533,1.652,1.9518,approaching_wall
2026-07-04 14:13:40.083,plain_wall_good,pw_good_08,positive,0.1916,-0.0788,3.614,0.7185,0.4199,0.746,65.533,1.687,1.9526,approaching_wall
2026-07-04 14:13:40.183,plain_wall_good,pw_good_08,positive,-0.0383,-0.1683,3.651,-0.0671,0.4424,0.73,65.533,1.709,1.9526,approaching_wall
2026-07-04 14:13:40.283,plain_wall_good,pw_good_08,positive,0.2108,-0.1268,3.679,0.0,0.4628,0.708,65.533,1.729,1.952,approaching_wall
2026-07-04 14:13:40.383,plain_wall_good,pw_good_08,positive,0.0287,-0.1161,3.691,0.9197,0.4824,0.701,65.533,1.754,1.9507,approaching_wall
2026-07-04 14:13:40.483,plain_wall_good,pw_good_08,positive,-0.1341,-0.1236,3.723,-0.1054,0.5008,0.674,65.533,1.767,1.9491,approaching_wall
