timestamp,scenario,run_id,example_type,imu_accel_x,imu_angular_z,odom_linear_x,imu_accel_y,lidar_front_right,lidar_right,pos_x,lidar_left,action_label
2026-07-04 14:15:50.431,plain_wall_good,pw_good_09,positive,-0.1437,0.5742,-0.0004,-1.7148,3.249,1.403,0.0043,1.217,approaching_wall
2026-07-04 14:15:50.531,plain_wall_good,pw_good_09,positive,0.2491,1.6362,0.0059,-0.0096,3.238,1.416,0.0059,1.216,approaching_wall
2026-07-04 14:15:50.632,plain_wall_good,pw_good_09,positive,0.0287,0.5262,0.0158,-0.3449,3.252,1.399,0.0145,1.219,approaching_wall
2026-07-04 14:15:50.731,plain_wall_good,pw_good_09,positive,0.5269,0.9151,0.0135,0.594,3.264,1.368,0.0286,1.202,approaching_wall
2026-07-04 14:15:50.831,plain_wall_good,pw_good_09,positive,0.1629,0.6541,0.0137,-0.9101,3.302,1.347,0.0466,1.177,approaching_wall
2026-07-04 14:15:50.931,plain_wall_good,pw_good_09,positive,0.2874,0.6072,0.0152,0.0192,3.33,1.299,0.0702,1.177,approaching_wall
2026-07-04 14:15:51.031,plain_wall_good,pw_good_09,positive,0.297,0.5465,0.0148,0.1533,3.378,1.308,0.0993,1.136,approaching_wall
2026-07-04 14:15:51.131,plain_wall_good,pw_good_09,positive,0.0287,0.2812,0.0116,1.0059,3.425,1.309,0.1316,1.109,approaching_wall
2026-07-04 14:15:51.231,plain_wall_good,pw_good_09,positive,0.0096,0.1427,0.0142,1.4849,3.468,1.364,0.163,1.086,approaching_wall
2026-07-04 14:15:51.332,plain_wall_good,pw_good_09,positive,-0.0862,0.082,0.0136,0.0383,3.511,1.403,0.1943,1.063,approaching_wall
2026-07-04 14:15:51.431,plain_wall_good,pw_good_09,positive,0.0383,0.0437,0.0098,0.6227,3.564,1.421,0.2258,1.016,approaching_wall
2026-07-04 14:15:51.531,plain_wall_good,pw_good_09,positive,-0.4119,-0.0383,0.0106,0.8239,3.618,1.439,0.2572,1.0,approaching_wall
2026-07-04 14:15:51.631,plain_wall_good,pw_good_09,positive,-0.0383,0.0117,0.0099,0.7089,3.635,1.478,0.2888,0.951,approaching_wall
2026-07-04 14:15:51.731,plain_wall_good,pw_good_09,positive,0.0096,-0.0543,0.0097,0.0383,3.649,1.5,0.3203,0.922,approaching_wall
2026-07-04 14:15:51.831,plain_wall_good,pw_good_09,positive,0.3161,0.0011,0.009,0.3066,3.658,1.519,0.3514,0.893,approaching_wall
2026-07-04 14:15:51.931,plain_wall_good,pw_good_09,positive,-0.0958,0.0458,0.0091,-0.9867,3.673,1.542,0.3828,0.87,approaching_wall
2026-07-04 14:15:52.031,plain_wall_good,pw_good_09,positive,0.0671,0.0053,0.009,1.0538,7.397,1.558,0.4138,0.83,approaching_wall
2026-07-04 14:15:52.131,plain_wall_good,pw_good_09,positive,-0.0862,-0.0064,0.0086,1.0921,7.413,1.598,0.4433,0.798,approaching_wall
2026-07-04 14:15:52.231,plain_wall_good,pw_good_09,positive,0.0575,0.0309,0.0092,0.661,7.469,1.633,0.4701,0.778,approaching_wall
2026-07-04 14:15:52.331,plain_wall_good,pw_good_09,positive,-0.1245,-0.1704,0.0083,0.9005,7.472,1.678,0.4943,0.753,approaching_wall
2026-07-04 14:15:52.431,plain_wall_good,pw_good_09,positive,0.2012,-0.1481,0.008,0.9772,65.533,1.693,0.5165,0.726,approaching_wall
2026-07-04 14:15:52.532,plain_wall_good,pw_good_09,positive,-0.182,-0.1289,0.008,0.9676,65.533,1.71,0.538,0.708,approaching_wall
2026-07-04 14:15:52.632,plain_wall_good,pw_good_09,positive,-0.0479,-0.2003,0.0078,0.2203,65.533,1.742,0.5587,0.681,approaching_wall
2026-07-04 14:15:52.731,plain_wall_good,pw_good_09,positive,-0.0096,-0.2067,0.0064,-0.0766,65.533,1.772,0.5772,0.676,approaching_wall
2026-07-04 14:15:52.831,plain_wall_good,pw_good_09,positive,0.1245,-0.3611,0.0076,0.4024,7.69,1.814,0.594,0.653,approaching_wall
2026-07-04 14:15:52.931,plain_wall_good,pw_good_09,positive,0.1533,-0.0703,0.0073,0.4886,7.706,1.93,0.6101,0.645,wall_following
2026-07-04 14:15:53.031,plain_wall_good,pw_good_09,positive,-0.5269,-0.2908,0.0066,0.1629,7.743,2.307,0.6246,0.629,wall_following
2026-07-04 14:15:53.131,plain_wall_good,pw_good_09,positive,0.115,-0.2333,0.0074,-0.7185,7.81,2.351,0.6379,0.618,wall_following
2026-07-04 14:15:53.231,plain_wall_good,pw_good_09,positive,-0.1724,-0.0554,0.0078,0.4407,7.769,2.399,0.6511,0.614,wall_following
2026-07-04 14:15:53.331,plain_wall_good,pw_good_09,positive,-0.0383,-0.2621,0.008,-0.3161,7.807,2.42,0.6643,0.6,wall_following
2026-07-04 14:15:53.431,plain_wall_good,pw_good_09,positive,0.0383,-0.1811,0.0079,0.1724,7.856,2.481,0.6765,0.599,wall_following
2026-07-04 14:15:53.531,plain_wall_good,pw_good_09,positive,-0.3736,-0.2322,0.0072,0.0766,7.815,2.58,0.6876,0.589,wall_following
2026-07-04 14:15:53.631,plain_wall_good,pw_good_09,positive,0.1724,-0.1076,0.0075,0.8814,7.842,2.739,0.6982,0.578,wall_following
2026-07-04 14:15:53.731,plain_wall_good,pw_good_09,positive,-0.1341,-0.2376,0.0102,0.5269,7.814,3.035,0.7084,0.562,wall_following
2026-07-04 14:15:53.831,plain_wall_good,pw_good_09,positive,-0.0766,-0.2131,0.0092,1.0346,65.533,3.045,0.7177,0.555,wall_following
2026-07-04 14:15:53.931,plain_wall_good,pw_good_09,positive,-0.1724,-0.1566,0.0076,0.7281,65.533,3.067,0.7265,0.555,wall_following
2026-07-04 14:15:54.031,plain_wall_good,pw_good_09,positive,-0.1724,-0.2919,0.0078,-0.0862,65.533,3.069,0.7347,0.551,wall_following
2026-07-04 14:15:54.131,plain_wall_good,pw_good_09,positive,-0.115,-0.0842,0.0076,1.14,65.533,3.068,0.7426,0.54,wall_following
2026-07-04 14:15:54.232,plain_wall_good,pw_good_09,positive,-0.1629,-0.0298,0.0077,0.2299,65.533,3.075,0.7508,0.548,wall_following
2026-07-04 14:15:54.331,plain_wall_good,pw_good_09,positive,0.115,-0.049,0.0109,0.5269,7.927,3.079,0.7585,0.528,wall_following
2026-07-04 14:15:54.431,plain_wall_good,pw_good_09,positive,0.0383,-0.0842,0.0099,0.182,65.533,3.083,0.7662,0.532,wall_following
2026-07-04 14:15:54.531,plain_wall_good,pw_good_09,positive,0.1341,-0.0234,0.0075,0.8239,65.533,3.09,0.7734,0.523,wall_following
2026-07-04 14:15:54.631,plain_wall_good,pw_good_09,positive,-0.1724,-0.0788,0.0075,1.1209,65.533,3.093,0.7807,0.524,wall_following
2026-07-04 14:15:54.731,plain_wall_good,pw_good_09,positive,-0.0958,-0.2205,0.0082,0.1245,7.956,3.097,0.7874,0.523,wall_following
2026-07-04 14:15:54.831,plain_wall_good,pw_good_09,positive,0.1341,0.0629,0.0085,1.3412,65.533,3.102,0.7941,0.523,wall_following
2026-07-04 14:15:54.931,plain_wall_good,pw_good_09,positive,-0.297,-0.2067,0.0084,-0.3832,65.533,3.105,0.8006,0.517,wall_following
2026-07-04 14:15:55.032,plain_wall_good,pw_good_09,positive,0.0479,-0.0735,0.008,0.958,65.533,3.103,0.8072,0.514,wall_following
2026-07-04 14:15:55.131,plain_wall_good,pw_good_09,positive,-0.0287,-0.0842,0.0079,0.7472,65.533,3.107,0.8129,0.507,wall_following
2026-07-04 14:15:55.231,plain_wall_good,pw_good_09,positive,0.0383,-0.1172,0.0067,0.594,65.533,3.112,0.8188,0.513,wall_following
2026-07-04 14:15:55.331,plain_wall_good,pw_good_09,positive,-0.0671,-0.179,0.0106,0.2012,65.533,3.112,0.8243,0.512,wall_following
2026-07-04 14:15:55.431,plain_wall_good,pw_good_09,positive,-0.0766,0.0703,0.0069,1.1113,65.533,3.114,0.8296,0.504,wall_following
2026-07-04 14:15:55.531,plain_wall_good,pw_good_09,positive,-0.0862,0.0064,0.0079,0.843,65.533,3.107,0.8352,0.507,wall_following
2026-07-04 14:15:55.631,plain_wall_good,pw_good_09,positive,-0.1437,-0.1033,0.0072,0.2682,65.533,3.127,0.8404,0.505,wall_following
2026-07-04 14:15:55.731,plain_wall_good,pw_good_09,positive,-0.0383,-0.0597,0.0089,0.6993,65.533,3.113,0.8454,0.499,wall_following
2026-07-04 14:15:55.831,plain_wall_good,pw_good_09,positive,-0.1629,0.066,0.0106,0.9197,65.533,3.119,0.8506,0.5,wall_following
2026-07-04 14:15:55.931,plain_wall_good,pw_good_09,positive,-0.0479,0.0756,0.01,0.843,65.533,3.124,0.8558,0.498,wall_following
2026-07-04 14:15:56.031,plain_wall_good,pw_good_09,positive,-0.1629,-0.1736,0.0077,0.1629,65.533,3.12,0.8608,0.504,wall_following
2026-07-04 14:15:56.131,plain_wall_good,pw_good_09,positive,-0.0575,-0.1641,0.0099,0.5556,65.533,3.128,0.8658,0.497,wall_following
2026-07-04 14:15:56.231,plain_wall_good,pw_good_09,positive,-0.1341,-0.1332,0.0082,0.0575,65.533,3.12,0.8705,0.498,wall_following
2026-07-04 14:15:56.331,plain_wall_good,pw_good_09,positive,-0.115,-0.0405,0.0081,-0.0479,65.533,3.13,0.8751,0.5,wall_following
2026-07-04 14:15:56.431,plain_wall_good,pw_good_09,positive,-0.1916,-0.1811,0.0083,-0.3353,65.533,3.128,0.8795,0.504,wall_following
2026-07-04 14:15:56.531,plain_wall_good,pw_good_09,positive,0.0479,-0.0213,0.0082,0.4215,65.533,3.13,0.8839,0.489,wall_following
2026-07-04 14:15:56.631,plain_wall_good,pw_good_09,positive,-0.0958,-0.0714,0.0072,0.3257,65.533,3.13,0.888,0.494,wall_following
2026-07-04 14:15:56.731,plain_wall_good,pw_good_09,positive,-0.1916,-0.1257,0.0071,0.7089,65.533,3.121,0.8921,0.503,wall_following
2026-07-04 14:15:56.831,plain_wall_good,pw_good_09,positive,-0.2108,-0.0799,0.0091,0.2012,65.533,3.129,0.896,0.492,wall_following
2026-07-04 14:15:56.931,plain_wall_good,pw_good_09,positive,0.0575,-0.0202,0.0095,0.5556,65.533,3.126,0.9,0.504,wall_following
2026-07-04 14:15:57.031,plain_wall_good,pw_good_09,positive,0.0096,0.0756,0.0088,0.4886,65.533,3.133,0.9041,0.493,wall_following
2026-07-04 14:15:57.131,plain_wall_good,pw_good_09,positive,-0.1533,0.0415,0.0095,0.4503,65.533,3.132,0.9081,0.503,wall_following
2026-07-04 14:15:57.231,plain_wall_good,pw_good_09,positive,-0.0383,0.1747,0.0099,0.4311,65.533,3.123,0.9121,0.503,wall_following
2026-07-04 14:15:57.331,plain_wall_good,pw_good_09,positive,0.0,0.2503,0.0094,0.5844,65.533,3.119,0.9162,0.494,wall_following
2026-07-04 14:15:57.431,plain_wall_good,pw_good_09,positive,-0.0766,0.0533,0.0099,0.2491,65.533,3.131,0.9204,0.498,wall_following
2026-07-04 14:15:57.531,plain_wall_good,pw_good_09,positive,-0.2012,-0.2205,0.0113,0.2682,65.533,3.136,0.9246,0.5,wall_following
2026-07-04 14:15:57.631,plain_wall_good,pw_good_09,positive,-0.0862,-0.0405,0.009,-0.1437,65.533,3.125,0.9285,0.492,wall_following
2026-07-04 14:15:57.731,plain_wall_good,pw_good_09,positive,0.0479,-0.0266,0.0092,0.1437,2.761,3.13,0.9324,0.49,wall_following
2026-07-04 14:15:57.831,plain_wall_good,pw_good_09,positive,0.0479,-0.082,0.0107,0.1724,2.756,3.136,0.9363,0.499,wall_following
2026-07-04 14:15:57.931,plain_wall_good,pw_good_09,positive,-0.2491,0.0043,0.0099,0.1629,2.765,3.129,0.94,0.495,wall_following
2026-07-04 14:15:58.031,plain_wall_good,pw_good_09,positive,-0.0479,0.0597,0.0092,0.4598,2.709,3.125,0.9437,0.494,wall_following
2026-07-04 14:15:58.131,plain_wall_good,pw_good_09,positive,0.0287,0.0352,0.0099,0.5173,2.682,3.131,0.9475,0.492,wall_following
2026-07-04 14:15:58.231,plain_wall_good,pw_good_09,positive,-0.1916,0.0,0.0094,0.4024,2.667,3.133,0.9512,0.488,wall_following
2026-07-04 14:15:58.331,plain_wall_good,pw_good_09,positive,-0.182,-0.0096,0.0095,0.2874,2.654,3.124,0.9548,0.496,wall_following
2026-07-04 14:15:58.431,plain_wall_good,pw_good_09,positive,-0.0096,0.0234,0.0093,1.0825,2.641,3.129,0.9583,0.5,wall_following
2026-07-04 14:15:58.531,plain_wall_good,pw_good_09,positive,-0.2491,-0.0426,0.0091,0.5461,2.632,3.129,0.9618,0.494,wall_following
2026-07-04 14:15:58.632,plain_wall_good,pw_good_09,positive,-0.182,0.0234,0.0096,1.1304,2.614,3.133,0.9654,0.492,wall_following
2026-07-04 14:15:58.731,plain_wall_good,pw_good_09,positive,-0.2108,-0.1811,0.0095,0.7377,2.597,3.128,0.9689,0.501,wall_following
2026-07-04 14:15:58.831,plain_wall_good,pw_good_09,positive,0.0096,-0.0298,0.0103,0.5365,2.582,3.134,0.9724,0.495,wall_following
2026-07-04 14:15:58.931,plain_wall_good,pw_good_09,positive,-0.2491,0.016,0.0098,-0.0575,2.601,3.128,0.9758,0.5,wall_following
2026-07-04 14:15:59.031,plain_wall_good,pw_good_09,positive,-0.0192,0.081,0.0125,0.2682,2.593,3.128,0.9795,0.493,wall_following
2026-07-04 14:15:59.131,plain_wall_good,pw_good_09,positive,0.0958,-0.0075,0.0076,0.4694,2.599,3.134,0.9832,0.494,wall_following
2026-07-04 14:15:59.231,plain_wall_good,pw_good_09,positive,-0.1629,-0.032,0.009,0.594,2.6,3.131,0.987,0.486,wall_following
2026-07-04 14:15:59.331,plain_wall_good,pw_good_09,positive,-0.0766,0.0629,0.0097,0.5365,2.593,3.13,0.9908,0.494,wall_following
2026-07-04 14:15:59.431,plain_wall_good,pw_good_09,positive,-0.182,0.0618,0.0093,0.4215,2.583,3.132,0.9945,0.495,wall_following
2026-07-04 14:15:59.531,plain_wall_good,pw_good_09,positive,-0.1533,0.0714,0.01,0.5556,2.575,3.13,0.9982,0.488,wall_following
2026-07-04 14:15:59.631,plain_wall_good,pw_good_09,positive,-0.0192,-0.016,0.0097,0.7089,2.6,3.135,1.002,0.496,wall_following
