segment_id,joint,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_position,end_position,mean_position
0,joint1,0.0,0.8028292655944824,0.8028292655944824,home,constant,0.0,0.0,0.0,0.0,0.0
1,joint1,1.0036022663116455,4.818300247192383,3.8146979808807373,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
2,joint1,5.019008159637451,13.852810144424438,8.833801984786987,pick,constant,0.0,0.0,0.0,0.0,0.0
3,joint1,14.053515911102295,15.86088490486145,1.8073689937591553,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
4,joint1,16.061643600463867,17.8682541847229,1.8066105842590332,lift,ramp_down,-0.19524554373264758,3.104724567659727,-0.0312397703528404,-0.3839724361896515,-0.20760610327124596
5,joint1,18.06898307800293,18.87202286720276,0.8030397891998291,lift,constant,0.0012455233338104223,-0.4067278137526342,-0.3839724361896515,-0.3827221989631653,-0.38372238874435427
6,joint1,19.072688817977905,20.880038499832153,1.807349681854248,place,constant,0.00728350188257515,-0.5185989528399026,-0.3796829879283905,-0.3665191531181335,-0.373101070523262
7,joint1,21.080796718597412,22.888570308685303,1.8077735900878906,gripper_opening,constant,0.0,-0.3665191531181335,-0.3665191531181335,-0.3665191531181335,-0.3665191531181335
8,joint1,23.089298725128174,24.896263599395752,1.8069648742675781,retract,constant,0.0,-0.3665191531181335,-0.3665191531181335,-0.3665191531181335,-0.3665191531181335
9,joint1,25.097034215927124,25.89993953704834,0.8029053211212158,retract,ramp_up,0.023445590924995596,-0.959140432586423,-0.3665191531181335,-0.3454804420471191,-0.3613127827644348
10,joint1,26.10139799118042,27.90861749649048,1.8072195053100586,return_home,ramp_up,0.08026256631241997,-2.4244000289852456,-0.3294348418712616,-0.1843827664852142,-0.2569088041782379
