segment_id,joint,signal,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_value,end_value,mean_value
0,joint2,velocity,0.0,2.8105406761169434,2.8105406761169434,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
1,joint2,velocity,3.0111899375915527,3.814999580383301,0.803809642791748,gripper_opening,ramp_up,0.24873444546564072,-0.7989619940582285,0.0,0.2498544454574585,0.0499708890914917
2,joint2,velocity,4.01574444770813,9.836874961853027,5.8211305141448975,pick,constant,0.0,0.2498544454574585,0.2498544454574585,0.2498544454574585,0.2498544454574585
3,joint2,velocity,10.037532091140747,10.840471029281616,0.8029389381408691,pick,ramp_down,-0.3005084131155077,3.2076736188627812,0.2498544454574585,0.0,0.07067152857780457
4,joint2,velocity,11.041079998016357,12.848512172698975,1.8074321746826172,pick,constant,0.0,0.0,0.0,0.0,0.0
5,joint2,velocity,13.049236297607422,14.856017351150513,1.8067810535430908,gripper_closing,constant,0.0,0.0,0.0,0.0,0.0
6,joint2,velocity,15.056869983673096,15.85977578163147,0.802905797958374,lift,ramp_down,-0.13904332948973108,2.03753873688723,-0.000213876759517,-0.1397448033094406,-0.1118386179994559
7,joint2,velocity,16.060461044311523,16.863874912261963,0.8034138679504395,lift,ramp_up,0.11973881978339394,-2.0868507686250637,-0.1397448033094406,-0.0194627847522497,-0.11568839959800244
8,joint2,velocity,17.064687728881836,17.867427587509155,0.8027398586273193,lift,constant,0.0,0.0,0.0,0.0,0.0
9,joint2,velocity,18.068154335021973,18.871052503585815,0.8028981685638428,place,constant,1.0278400599019538e-16,0.349506229162214,0.3495062291622162,0.3495062291622162,0.3495062291622162
10,joint2,velocity,19.07181715965271,19.87483501434326,0.8030178546905518,place,ramp_down,-0.34782777404715637,6.8431880921657315,0.3491630554199219,0.0,0.06983261108398438
11,joint2,velocity,20.075483322143555,21.882620334625244,1.8071370124816895,gripper_opening,constant,0.0,0.0,0.0,0.0,0.0
12,joint2,velocity,22.083374500274658,22.886284828186035,0.802910327911377,retract,constant,3.4354470326007458e-18,-0.34897348284721375,-0.3489734828472137,-0.3489734828472137,-0.3489734828472137
13,joint2,velocity,23.08708167076111,23.890327215194702,0.8032455444335938,retract,ramp_up,0.521380778032977,-12.455922999185525,-0.3489734828472137,0.0,-0.2093840897083282
14,joint2,velocity,24.09108829498291,24.89405655860901,0.8029682636260986,retract,ramp_down,-0.2906186923867676,7.054496794626888,0.0,-0.2658982574939728,-0.06350561901926993
15,joint2,velocity,25.094667196273804,27.90470314025879,2.8100359439849854,return_home,constant,0.0,-0.2658982574939728,-0.2658982574939728,-0.2658982574939728,-0.2658982574939728
