segment_id,joint,signal,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_value,end_value,mean_value
0,joint4,effort,0.0,0.8036856651306152,0.8036856651306152,home,constant,-3.373570405390284e-17,-0.1364886611700058,-0.1364886611700058,-0.1364886611700058,-0.1364886611700058
1,joint4,effort,1.0044751167297363,4.818563222885132,3.8140881061553955,gripper_opening,constant,0.0006780340548131353,-0.13716972950636097,-0.1364886611700058,-0.1339025795459747,-0.13519562035799026
2,joint4,effort,5.019279956817627,8.834759950637817,3.8154799938201904,pick,constant,0.017334150280289357,-0.2180548394161843,-0.1310498863458633,-0.0649117827415466,-0.09798083454370494
3,joint4,effort,9.035482406616211,10.842822074890137,1.8073396682739258,pick,ramp_up,0.02043127753104927,-0.2455716812275866,-0.0609652325510978,-0.0240389741957187,-0.04250210337340825
4,joint4,effort,11.043519258499146,13.854499101638794,2.8109798431396484,pick_delay,constant,0.00036956178461191214,-0.023938592933326765,-0.0198573302477598,-0.018818499520421,-0.019337914884090403
5,joint4,effort,14.055221557617188,15.862085819244385,1.8068642616271973,gripper_closing,constant,0.0,-0.018818499520421,-0.018818499520421,-0.018818499520421,-0.018818499520421
6,joint4,effort,16.062829732894897,17.869515657424927,1.8066859245300293,lift,ramp_down,-0.06413813839523134,1.0144501821340652,-0.0157898142933845,-0.131667286157608,-0.07372855022549625
7,joint4,effort,18.07011651992798,18.87359595298767,0.8034794330596924,lift,constant,0.002815520055609773,-0.18310954507398938,-0.131667286157608,-0.1288397163152694,-0.13110177218914026
8,joint4,effort,19.074421882629395,19.87734842300415,0.8029265403747559,place,ramp_up,0.06533051818419676,-1.3644773110635913,-0.117646537721157,-0.0652254745364189,-0.09210743010044094
9,joint4,effort,20.078243494033813,20.881457328796387,0.8032138347625732,place,constant,2.0669891386624638e-17,-0.05861278250813522,-0.0586127825081348,-0.0586127825081348,-0.0586127825081348
10,joint4,effort,21.082071781158447,22.889031410217285,1.806959629058838,gripper_opening,constant,0.0,-0.0586127825081348,-0.0586127825081348,-0.0586127825081348,-0.0586127825081348
11,joint4,effort,23.089760303497314,25.900123834609985,2.810363531112671,retract,ramp_down,-0.02578860106185194,0.5302017137126814,-0.0652509033679962,-0.1377262473106384,-0.1014885753393173
12,joint4,effort,26.10079288482666,27.907280206680298,1.8064873218536377,return_home,constant,0.0006890134126404571,-0.15545053996664365,-0.1374667435884475,-0.1362220495939254,-0.13684439659118644
