segment_id,joint,signal,start_time_sec,end_time_sec,duration_sec,phase,label,slope,intercept,start_value,end_value,mean_value
0,joint5,effort,0.0,0.8031058311462402,0.8031058311462402,home,constant,1.5231564225848222e-15,-1.5899393558502195,-1.5899393558502195,-1.5899393558502195,-1.5899393558502195
1,joint5,effort,1.0039043426513672,3.814375162124634,2.8104708194732666,gripper_opening,constant,0.0,-1.5899393558502195,-1.5899393558502195,-1.5899393558502195,-1.5899393558502195
2,joint5,effort,4.015284538269043,4.8184192180633545,0.8031346797943115,pick,ramp_up,0.3872628549153941,-3.3081143433699443,-1.5899393558502195,-1.6080427169799805,-1.5976404190063476
3,joint5,effort,5.019010543823242,7.82920503616333,2.810194492340088,pick,ramp_down,-0.1387608267207158,-0.962463096125262,-1.6589051485061646,-2.0488500595092773,-1.853877604007721
4,joint5,effort,8.029963731765747,10.84022068977356,2.8102569580078125,pick,ramp_up,0.15867388440488012,-3.5433992677235038,-2.269253730773926,-1.823339343070984,-2.046296536922455
5,joint5,effort,11.040977001190186,13.851365327835083,2.8103883266448975,pick,constant,0.0,-1.823339343070984,-1.823339343070984,-1.823339343070984,-1.823339343070984
6,joint5,effort,14.051987886428833,14.854813575744629,0.8028256893157959,gripper_closing,constant,-1.2688278046753895e-16,-1.823339343070982,-1.823339343070984,-1.823339343070984,-1.8233393430709843
7,joint5,effort,15.055540561676025,15.858457803726196,0.8029172420501709,gripper_closing,ramp_down,-1.0177267628215017,13.631891181891623,-1.823339343070984,-2.4873151779174805,-2.0991021394729614
8,joint5,effort,16.059091091156006,17.86577272415161,1.8066816329956055,lift,ramp_up,0.6645008585637044,-13.531585603958716,-2.8603057861328125,-1.659764289855957,-2.2600350379943848
9,joint5,effort,18.066555738449097,18.86954641342163,0.8029906749725342,place,ramp_up,0.20234151706690198,-5.222902397046566,-1.659764289855957,-1.5695160627365112,-1.4860540628433228
10,joint5,effort,19.07037043571472,19.873295068740845,0.802924633026123,place,ramp_down,-1.9543133388861016,35.76087885693915,-1.5186537504196167,-1.8233392238616943,-2.293107581138611
11,joint5,effort,20.074034214019775,20.87684655189514,0.8028123378753662,place,constant,-2.1741287516514664e-16,-1.8233392238616897,-1.8233392238616943,-1.8233392238616943,-1.8233392238616943
12,joint5,effort,21.077537536621094,21.880489826202393,0.8029522895812988,gripper_opening,constant,2.1816547579911e-16,-1.8233392238616988,-1.8233392238616943,-1.8233392238616943,-1.8233392238616943
13,joint5,effort,22.081250190734863,22.88426184654236,0.8030116558074951,gripper_opening,ramp_down,-1.4816905203667934,31.091394064046618,-1.8233392238616943,-2.8091866970062256,-2.2210690498352053
14,joint5,effort,23.084996938705444,24.892225742340088,1.8072288036346436,retract,ramp_up,0.5489117048701551,-15.294316419445675,-2.62269139289856,-1.630682349205017,-2.1266868710517883
15,joint5,effort,25.09297013282776,27.903809547424316,2.8108394145965576,return_home,ramp_down,-0.6544010080143245,14.790182599790807,-1.630682349205017,-3.4700984954833984,-2.5503904223442078
