timestep,joint1_position,joint1_velocity,joint2_position,joint2_velocity,joint3_position,joint3_velocity,joint4_position,joint4_velocity,joint5_position,joint5_velocity,joint6_position,joint6_velocity,joint7_position,joint7_velocity,finger1_position,finger2_position,finger1_velocity,finger2_velocity,gripper_width,phase
0,0.0,0.0,-0.569,0.0,0.0,0.0,-2.81,0.0,0.0,0.0,3.037,0.0,0.741,0.0,0.04,0.04,0.0,0.0,0.08,unknown
1,-0.0018409666,-0.04738315,-0.594576,-0.9597228,0.00043968263,0.012304796,-2.8168814,-0.17301819,-0.0020762186,-0.06496972,3.007185,-0.82154465,0.73835254,-0.07241416,0.03999824,0.04,3.8322985e-05,1.9383917e-05,0.07999824,unknown
2,-0.0063128173,-0.06750022,-0.6257681,-0.8850071,0.009681981,0.29776442,-2.8196795,-0.04639622,-0.0017623493,0.0044206474,2.977884,-0.81011045,0.7475257,0.25173485,0.04,0.039986674,1.0433895e-05,0.00010523888,0.07998668,unknown
3,-0.004980333,-0.0010729888,-0.6431805,-0.38852432,0.011153748,-0.00033527578,-2.81724,0.075907335,-0.0032649704,-0.036531173,2.9634356,-0.4009301,0.74605805,-0.04029957,0.039987754,0.039999925,8.2403516e-05,-2.675759e-06,0.079987675,unknown
4,-0.00859826,-0.081094585,-0.66023076,-0.51662743,0.016506782,0.17043293,-2.819029,-0.0753946,-0.0036935364,-0.013286094,2.950758,-0.35169494,0.75148004,0.14998843,0.03999896,0.039995316,0.0001155482,2.3398863e-05,0.079994276,unknown
5,-0.010929509,-0.08565538,-0.6806127,-0.6054273,0.018291347,0.024891408,-2.8230147,-0.11287521,-0.004761896,-0.027264828,2.9346604,-0.4464841,0.7524708,0.02781214,0.039991353,0.04,9.552002e-05,3.9739307e-06,0.079991356,unknown
6,-0.010245032,0.022133933,-0.70569444,-0.75539184,0.016004073,-0.06712132,-2.8273237,-0.10730113,-0.0050347983,-0.009158051,2.9102135,-0.6768599,0.7498297,-0.07242653,0.03999669,0.039999083,8.438797e-05,3.4750751e-06,0.079995774,unknown
7,-0.009376368,0.02012988,-0.72438526,-0.46342313,0.01340883,-0.07279894,-2.8354385,-0.28397778,-0.0053205853,-0.00537286,2.9073932,-0.08490357,0.74761474,-0.060878124,0.039998673,0.039999206,5.6210774e-05,-1.1348742e-05,0.07999788,unknown
8,-0.005586758,0.0683843,-0.72422373,0.12749292,0.0036770923,-0.31796366,-2.8323786,0.15680957,-0.0054453732,0.0020425944,2.9063487,-0.02824061,0.73800486,-0.26620427,0.039988402,0.04,0.00012359644,3.3350318e-06,0.079988405,unknown
9,-0.0066070473,-0.010028691,-0.73627067,-0.4740861,-0.0010758664,-0.102265775,-2.8349123,-0.09856895,-0.0056405272,-0.009396609,2.8890543,-0.47762063,0.73465836,-0.0918838,0.04,0.03999224,1.569299e-05,-2.0341766e-05,0.079992235,unknown
10,-0.0014140301,0.10947434,-0.7413432,-0.048999354,-0.014530804,-0.42506942,-2.8354566,-0.011402041,-0.006428186,-0.016422,2.8869443,-0.061330095,0.720251,-0.39840147,0.03999033,0.04,0.00016387856,1.4870641e-05,0.07999033,unknown
11,-0.0032334875,-0.0078651095,-0.7403867,0.061447848,-0.015556108,0.039163154,-2.8378174,-0.09965744,-0.0063316952,-0.00039526392,2.8898106,0.076405734,0.7215989,0.037406772,0.04,0.03998253,8.892138e-06,0.00011539214,0.079982534,unknown
12,-0.0071327523,-0.13171913,-0.74328023,-0.11721387,-0.014717027,0.0070567066,-2.842934,-0.1467284,-0.0084500685,-0.056292217,2.8855982,-0.115899414,0.7213203,-0.005969903,0.039992224,0.039998624,0.00012895327,7.15244e-05,0.07999085,unknown
13,-0.012729566,-0.17067815,-0.7272334,0.62717956,-0.013946656,0.016493348,-2.839174,0.13295558,-0.01045808,-0.051798247,2.9012578,0.43044496,0.7228035,0.043622885,0.039993983,0.04,0.00017645174,2.7990938e-05,0.07999398,unknown
14,-0.013948093,-0.020089671,-0.7230387,-9.72203e-05,-0.016640628,-0.0723871,-2.848165,-0.33304462,-0.011413062,-0.024852272,2.9083202,0.19293533,0.719791,-0.08251625,0.04,0.03999489,-1.2259409e-06,2.3933448e-05,0.07999489,unknown
15,-0.016282648,-0.103720896,-0.7100327,0.47528547,-0.022394069,-0.19392571,-2.8479035,0.077497676,-0.01503985,-0.09656741,2.91682,0.23735707,0.7116147,-0.22348598,0.039988104,0.04,0.00018528038,3.5554363e-05,0.07998811,unknown
16,-0.022322018,-0.1208112,-0.694604,0.44361663,-0.018042479,0.18633291,-2.8479054,-0.02605869,-0.01624122,-0.038221125,2.929691,0.35431293,0.716986,0.15116678,0.04,0.03998202,2.7795719e-05,0.000132405,0.07998202,unknown
17,-0.021463621,-0.022569882,-0.6823647,0.33296144,-0.023946505,-0.22638027,-2.850372,-0.072705574,-0.017828137,-0.03653071,2.9403331,0.29386768,0.7094815,-0.20693241,0.039983973,0.04,0.00015158296,1.8839686e-05,0.07998397,unknown
18,-0.025847873,-0.07283215,-0.6811799,-0.028033147,-0.021009093,0.1429259,-2.8628936,-0.42361343,-0.018660521,-0.026934663,2.9492307,0.24419774,0.71317834,0.10366693,0.04,0.03998223,1.849672e-05,0.00011655319,0.07998223,unknown
19,-0.02631538,-0.065897286,-0.66401577,0.64557993,-0.025290139,-0.17473407,-2.8674924,-0.08674146,-0.021646468,-0.07368429,2.9712765,0.60943925,0.7063356,-0.18774414,0.039983176,0.04,0.00020058457,2.1699856e-05,0.079983175,unknown
20,-0.028934062,-0.058924817,-0.64236295,0.62248975,-0.027835667,-0.054912858,-2.8679647,0.0042236615,-0.022243632,-0.015668856,2.9859512,0.40561897,0.7051216,-0.032578304,0.03999768,0.039994247,0.00018452457,-6.844816e-07,0.07999192,unknown
21,-0.02903789,0.024506222,-0.619744,0.68314165,-0.027622513,0.028258566,-2.8741026,-0.23357365,-0.020949613,0.036890194,3.0146685,0.79166883,0.7077851,0.07269158,0.04,0.039987262,9.897372e-06,0.00014756127,0.07998726,unknown
22,-0.026970591,0.007834439,-0.5918011,0.84680766,-0.0351131,-0.26167482,-2.877147,-0.056397293,-0.022669693,-0.03917126,3.0397303,0.69225955,0.69960296,-0.22650017,0.039983522,0.04,0.00014362196,3.058796e-05,0.07998352,unknown
23,-0.022990473,0.12541002,-0.57144046,0.53484863,-0.046158534,-0.31121412,-2.8872726,-0.3369633,-0.022354895,0.009245802,3.065817,0.7225677,0.6915707,-0.22448598,0.039996848,0.039994963,0.00016425432,7.7637915e-06,0.07999181,unknown
24,-0.02287077,-0.032163795,-0.54282784,0.9136225,-0.05720375,-0.3378515,-2.891225,-0.073101155,-0.025092382,-0.06752072,3.0938637,0.77536505,0.68139076,-0.28059044,0.03998756,0.04,0.0002173384,2.03353e-05,0.079987556,unknown
25,-0.020918665,0.10239346,-0.50339365,1.1972003,-0.06484494,-0.19102553,-2.8872247,0.14587237,-0.023601584,0.043149088,3.1252735,0.8633962,0.67901504,-0.06697955,0.04,0.039987408,3.0187339e-05,3.2665608e-05,0.07998741,unknown
26,-0.010181864,0.28070247,-0.47498628,0.7304524,-0.08259376,-0.54607,-2.892095,-0.19302854,-0.02213223,0.043669753,3.154651,0.8116768,0.66909176,-0.2782191,0.039993323,0.03999999,3.6185076e-05,3.0392493e-06,0.079993315,unknown
27,-0.006091493,0.1666066,-0.44601604,0.8730442,-0.090717115,-0.2015021,-2.8976414,-0.16275315,-0.020495525,0.042707175,3.1896036,0.9673111,0.6672838,-0.050717235,0.04,0.039988462,1.0520471e-05,1.4266288e-06,0.079988465,unknown
